Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.9,-0.4762037793619058,-0.47620377936187147
0.91,-0.3725624970575387,-0.3725624970575095
0.92,-0.29224321344096116,-0.29224321344094106
0.93,-0.2289976728376103,-0.22899767283758363
0.9400000000000001,-0.17831868329676648,-0.1783186832967428
0.9500000000000001,-0.13690570571966065,-0.13690570571964397
0.9600000000000001,-0.10230010634286586,-0.10230010634285033
0.9700000000000001,-0.07263254638268121,-0.07263254638266886
0.9800000000000001,-0.04644503871911502,-0.04644503871909952
0.9900000000000001,-0.022562907667591642,-0.022562907667583808
1.0,0.0,1.484923295436147e-15
1.01,0.02211430673747772,0.022114306737475713
1.02,0.04459443703906281,0.04459443703907176
1.03,0.06825036098355906,0.06825036098355208
1.04,0.09393660730288773,0.09393660730287959
1.05,0.12260282183414634,0.12260282183425135
1.06,0.15535006862643094,0.1553500686264069
1.07,0.1934974509444626,0.1934974509445684
1.08,0.23866448621967218,0.2386644862196388
1.09,0.2928760826195052,0.292876082619464
1.1,0.35869908443275045,0.35869908443265214
