Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.9,-0.38809876543209887,-0.3880987655406415
0.91,-0.34519700519260926,-0.3451970051926084
0.92,-0.3033103969754252,-0.3033103969754409
0.93,-0.2623955139322463,-0.26239551393224564
0.9400000000000001,-0.22241122679945644,-0.22241122680187675
0.9500000000000001,-0.18331855955678644,-0.18331855955678572
0.9600000000000001,-0.14508055555555519,-0.14508055555555485
0.9700000000000001,-0.10766215325751924,-0.1076621532575188
0.9800000000000001,-0.07103007080383114,-0.07103007080383113
0.9900000000000001,-0.035152698704213454,-0.03515269870500667
1.0,0.0,-2.2004507715801427e-16
1.01,0.034456582687971665,0.03445658268796964
1.02,0.06824421376393697,0.0682442137639366
1.03,0.10138874540484505,0.10138874540484281
1.04,0.13391479289940836,0.13391479289940778
1.05,0.16584580498866214,0.16584580498866125
1.06,0.19720412958348152,0.19720412958348119
1.07,0.22801107520307468,0.2280110752028555
1.08,0.2582869684499316,0.2582869684499309
1.09,0.28805120781079047,0.28805120783618837
1.1,0.31732231404958694,0.3173223140495862
