Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.9,-0.7641868603378809,-0.764186860337854
0.91,-0.5715214646180264,-0.5715214646179969
0.92,-0.4264142702798584,-0.4264142702798401
0.93,-0.31649654008806477,-0.31649654008805767
0.9400000000000001,-0.23266742889745634,-0.23266742889744632
0.9500000000000001,-0.16820498905388714,-0.1682049890538819
0.9600000000000001,-0.11812461241852737,-0.11812461241852157
0.9700000000000001,-0.07871440089448901,-0.078714400894482
0.9800000000000001,-0.04719749880351829,-0.047197498803509035
0.9900000000000001,-0.02148584824406957,-0.021485848271216558
1.0,-0.0,
1.01,0.01846319052364228,0.018463190523631216
1.02,0.03482804243051535,0.03482804243051643
1.03,0.04981212207908671,0.04981212207909007
1.04,0.06397972424984598,0.0639797242498472
1.05,0.07778170858081823,0.07778170858081791
1.06,0.09158529361625349,0.09158529361625795
1.07,0.10569643996028362,0.105696439960286
1.08,0.12037675076888127,0.12037675076888378
1.09,0.13585630681635213,0.13585630681635538
1.1,0.1523434809492917,0.15234348094929473
