Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.9,-0.3697364341085258,-0.3697364341085046
0.91,-0.29044461642483144,-0.2904446164083716
0.92,-0.2313043478260857,-0.23130434782606077
0.93,-0.1849919815530057,-0.1849919815529841
0.9400000000000001,-0.14727208069143,-0.14727208069142197
0.9500000000000001,-0.11551107276387683,-0.11551107276387229
0.96,-0.0879706927175849,-0.08797069271759167
0.97,-0.06344134545252939,-0.063441345452527
0.98,-0.04103759999492489,-0.041037599994927315
0.99,-0.020076467133918953,-0.020076467133925153
1.0,0.0,1.8330378881437076e-10
1.01,0.01967791248621395,0.019677912486209082
1.02,0.03941205738938026,0.039412057389369336
1.03,0.05966116598684495,0.059661165986832396
1.04,0.08092383107088977,0.08092383107087366
1.05,0.10378115501519754,0.10378115501517923
1.06,0.12895423459399113,0.12895423479482887
1.07,0.1573894242594873,0.1573894242594569
1.08,0.19039454041373416,0.19039454041368967
1.09,0.2298710496457014,0.2298710496456268
1.1,0.2787368421052638,0.2787368421051994
1.11,0.34175599352014624,0.34175599352006736
1.12,0.42732501023331754,0.4273250102331473
1.1300000000000001,0.5518133558164903,0.551813356570748
1.1400000000000001,0.752059971888175,0.752059971887712
1.15,1.13206894777463,1.1320689477736063
1.1600000000000001,2.1446941045606405,2.1446941045662267
1.17,13.663671299341905,13.663671299258867
1.1800000000000002,-3.333289769246491,-3.333289769252885
1.19,-1.523139040074181,-1.52313904007509
1.2,-1.0009999999999988,-1.0010000000029478
1.21,-0.7521752499639528,-0.7521752499641532
1.22,-0.6061810100846369,-0.6061810100879238
1.23,-0.5099464684850676,-0.5099464684851713
1.24,-0.441579369952298,-0.44157936996542724
1.25,-0.39040000000000036,-0.39040000000008407
1.26,-0.350576353910802,-0.3505763539109147
1.27,-0.31865302596370715,-0.318653025963723
1.28,-0.2924519230769232,-0.29245192307662105
1.29,-0.27053154633354554,-0.2705315463320005
1.3,-0.251899561578318,-0.25189956157637033
1.31,-0.23585025382481958,-0.23585025382456581
1.32,-0.2218678317859093,-0.22186783178554642
1.33,-0.20956642436376974,-0.2095664243639307
1.34,-0.1986514891337991,-0.19865148913566685
1.35,-0.18889421707776405,-0.18889421707755943
1.36,-0.18011409736308306,-0.18011409736365605
1.37,-0.17216675910254792,-0.17216675910253137
1.38,-0.16493531539214631,-0.1649353153922368
1.3900000000000001,-0.1583240858842157,-0.1583240858843197
1.4,-0.1522539682539683,-0.15225396825397836
1.4100000000000001,-0.14665897404627867,-0.14665897407758777
1.42,-0.14148360059558474,-0.14148360059559162
1.4300000000000002,-0.13668081244947267,-0.1366808124494882
1.44,-0.13221047331319238,-0.13221047331318575
1.4500000000000002,-0.1280381152483188,-0.1280381152486103
1.46,-0.12413396329542921,-0.12413396329542545
1.4700000000000002,-0.12047215563797427,-0.12047215563797627
1.48,-0.11703011496231204,-0.11703011497063216
1.49,-0.11378803781189507,-0.11378803781189323
1.5,-0.11072847682119208,-0.11072847682129626
