Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.9,-0.7641868603378809,-0.764186860337854
0.91,-0.5715214646180264,-0.5715214646179969
0.92,-0.4264142702798584,-0.4264142702798401
0.93,-0.31649654008806477,-0.31649654008805767
0.9400000000000001,-0.23266742889745634,-0.23266742889744632
0.9500000000000001,-0.16820498905388714,-0.1682049890538819
0.96,-0.11812461241852786,-0.11812461241852157
0.97,-0.0787144008944894,-0.078714400894482
0.98,-0.047197498803518596,-0.047197498803509035
0.99,-0.021485848244069822,-0.021485848271216558
1.0,-0.0,
1.01,0.01846319052364228,0.018463190523631216
1.02,0.03482804243051535,0.03482804243051643
1.03,0.04981212207908671,0.04981212207909007
1.04,0.06397972424984598,0.0639797242498472
1.05,0.07778170858081823,0.07778170858081791
1.06,0.09158529361625349,0.09158529361625795
1.07,0.10569643996028362,0.105696439960286
1.08,0.12037675076888127,0.12037675076888378
1.09,0.13585630681635213,0.13585630681635538
1.1,0.1523434809492917,0.15234348094929473
1.11,0.1700325045063648,0.17003250450636703
1.12,0.18910935870511464,0.18910935870511608
1.1300000000000001,0.20975641726927527,0.20975641726928054
1.1400000000000001,0.23215615839689902,0.23215615839690265
1.15,0.25649418420392306,0.256494184203931
1.1600000000000001,0.28296172650797763,0.28296172650799023
1.17,0.3117577737743228,0.3117577737743361
1.1800000000000002,0.34309092123684704,0.34309092123685464
1.19,0.37718102170836754,0.3771810217083792
1.2,0.4142606962599,0.41426069625991496
1.21,0.45457675019778454,0.45457675019779564
1.22,0.49839152943464765,0.4983915294346625
1.23,0.545984244571907,0.5459842445719214
1.24,0.5976522841477808,0.5976522841477971
1.25,0.6537125340792955,0.6537125340793196
1.26,0.7145027169845614,0.7145027169845791
1.27,0.7803827625472602,0.7803827625472817
1.28,0.8517362181800653,0.8517362181801009
1.29,0.928971707808296,0.9289717078084501
1.3,1.0125244455172044,1.0125244455172322
1.31,1.1028578100010529,1.102857810001087
1.32,1.2004649851556035,1.2004649851556375
1.33,1.3058706717192008,1.3058706717192448
1.34,1.4196328745544378,1.4196328745544895
1.35,1.542344769944447,1.5423447699444972
1.36,1.674636657133767,1.674636657133818
1.37,1.8171779982571512,1.8171779982572092
1.38,1.9706795507581756,1.9706795507582364
1.3900000000000001,2.1358955963934623,2.1358955963935373
1.4,2.3136262709403086,2.31362627094039
1.4100000000000001,2.504719998770259,2.5047199987703435
1.42,2.710076036513455,2.7100760365135446
1.4300000000000002,2.930647130116443,2.9306471301165296
1.44,3.16744228968519,3.167442289685306
1.4500000000000002,3.4215296866053486,3.4215296866054827
1.46,3.69403967753956,3.6940396775397
1.4700000000000002,3.986167960018055,3.9861679600181783
1.48,4.299178864460368,4.299178864460567
1.49,4.634408787594861,4.634408787595064
1.5,4.993269772375322,4.993269772375595
