Nu Mu Alpha TotalCost
0.400 0.458 -59.367 61.752
0.400 0.458 -59.367 61.752
0.400 0.458 -59.367 61.752
0.400 0.458 -59.367 61.752
0.400 0.001 -47.817 1.666
0.400 0.001 -47.817 1.666
0.400 0.001 -47.817 1.666
0.400 0.001 -47.817 1.666
0.400 0.024 -47.846 1.327
0.400 0.024 -47.846 1.327
0.400 0.024 -47.846 1.327
0.400 0.024 -47.846 1.327
0.423 0.147 -48.215 0.526
0.423 0.147 -48.215 0.526
0.423 0.147 -48.215 0.526
0.423 0.147 -48.215 0.526
0.436 0.137 -48.092 0.483
0.436 0.137 -48.092 0.483
0.436 0.137 -48.092 0.483
0.436 0.137 -48.092 0.483
0.495 0.029 -46.168 0.800
0.495 0.029 -46.168 0.800
0.495 0.029 -46.168 0.800
0.495 0.029 -46.168 0.800
0.438 0.132 -48.005 0.474
0.438 0.132 -48.005 0.474
0.438 0.132 -48.005 0.474
0.438 0.132 -48.005 0.474
0.495 0.119 -47.704
