Nu Mu Alpha TotalCost
0.400 0.458 -59.367 72.197
0.400 0.458 -59.367 72.197
0.400 0.458 -59.367 72.197
0.400 0.458 -59.367 72.197
0.400 0.001 -45.963 1.666
0.400 0.001 -45.963 1.666
0.400 0.001 -45.963 1.666
0.400 0.001 -45.963 1.666
0.400 0.022 -45.946 1.355
0.400 0.022 -45.946 1.355
0.400 0.022 -45.946 1.355
0.400 0.022 -45.946 1.355
0.432 0.162 -46.077 0.369
0.432 0.162 -46.077 0.369
0.432 0.162 -46.077 0.369
0.432 0.162 -46.077 0.369
0.458 0.161 -45.947 0.274
0.458 0.161 -45.947 0.274
0.458 0.161 -45.947 0.274
0.458 0.161 -45.947 0.274
0.495 0.161 -45.754 3.639
0.495 0.161 -45.754 3.639
0.495 0.161 -45.754 3.639
0.495 0.161 -45.754 3.639
0.470 0.161 -45.885 0.230
0.470 0.161 -45.885 0.230
0.470 0.161 -45.885 0.230
0.470 0.161 -45.885 0.230
0.495 0.073 -43.973 0.264
0.495 0.073 -43.973 0.264
0.495 0.073 -43.973 0.264
0.495 0.073 -43.973 0.264
0.483 0.114 -44.869 0.137
0.483 0.114 -44.869 0.137
0.483 0.114 -44.869 0.137
0.483 0.114 -44.869 0.137
0.495 0.104 -44.420 0.749
0.495 0.104 -44.420 0.749
0.495 0.104 -44.420 0.749
0.495 0.104 -44.420 0.749
0.487 0.111 -44.735 0.126
0.487 0.111 -44.735 0.126
0.487 0.111 -44.735 0.126
0.487 0.111 -44.735 0.126
0.478 0.136 -44.510 0.133
0.478 0.136 -44.510 0.133
0.478 0.136 -44.510 0.133
0.478 0.136 -44.510 0.133
0.484 0.119 -44.667 0.124
0.484 0.119 -44.667 0.124
0.484 0.119 -44.667 0.124
0.484 0.119 -44.667 0.124
0.483 0.136 -44.807 0.131
0.483 0.136 -44.807 0.131
0.483 0.136 -44.807 0.131
0.483 0.136 -44.807 0.131
0.484 0.124 -44.714 0.122
0.484 0.124 -44.714 0.122
0.484 0.124 -44.714 0.122
0.484 0.124 -44.714 0.122
0.484 0.124 -44.701 0.122
0.484 0.124 -44.701 0.122
0.484 0.124 -44.701 0.122
0.484 0.124 -44.701 0.122
0.484 0.123 -44.635 0.121
0.484 0.123 -44.635 0.121
0.484 0.123 -44.635 0.121
0.484 0.123 -44.635 0.121
0.485 0.124 -44.421 0.120
0.485 0.124 -44.421 0.120
0.485 0.124 -44.421 0.120
0.485 0.124 -44.421 0.120
0.485 0.129 -43.623 0.117
0.485 0.129 -43.623 0.117
0.485 0.129 -43.623 0.117
0.485 0.129 -43.623 0.117
0.483 0.148 -41.287 0.109
0.483 0.148 -41.287 0.109
0.483 0.148 -41.287 0.109
0.483 0.148 -41.287 0.109
0.478 0.186 -37.505 0.100
0.478 0.186 -37.505 0.100
