Nu Mu Alpha TotalCost
0.490 0.660 -24.300 45.381
0.490 0.660 -24.300 45.381
0.490 0.660 -24.300 45.381
0.490 0.660 -24.300 45.381
0.400 0.001 -23.312 1.675
0.400 0.001 -23.312 1.675
0.400 0.001 -23.312 1.675
0.400 0.001 -23.312 1.675
0.400 0.008 -23.322 1.630
0.400 0.008 -23.322 1.630
0.400 0.008 -23.322 1.630
0.400 0.008 -23.322 1.630
0.402 0.035 -23.363 1.452
0.402 0.035 -23.363 1.452
0.402 0.035 -23.363 1.452
0.402 0.035 -23.363 1.452
0.408 0.146 -23.527 0.821
0.408 0.146 -23.527 0.821
0.408 0.146 -23.527 0.821
0.408 0.146 -23.527 0.821
0.495 0.718 -24.392 186.747
0.495 0.718 -24.392 186.748
0.495 0.718 -24.392 186.747
0.495 0.718 -24.392 186.747
0.437 0.333 -23.809 0.100
0.437 0.333 -23.809 0.100
0.437 0.333 -23.809 0.100
0.437 0.333 -23.809 0.100
0.445 0.394 -23.904 0.120
0.445 0.394 -23.904 0.120
0.445 0.394 -23.904 0.120
0.445 0.394 -23.904 0.120
0.440 0.358 -23.849 0.082
0.440 0.358 -23.849 0.082
0.440 0.358 -23.849 0.082
0.440 0.358 -23.849 0.082
0.438 0.367 -23.862 0.075
0.438 0.367 -23.862 0.075
0.438 0.367 -23.862 0.075
0.438 0.367 -23.862 0.075
0.430 0.401 -23.912 0.051
0.430 0.401 -23.912 0.051
0.430 0.401 -23.912 0.051
0.430 0.401 -23.912 0.051
0.408 0.483 -24.034 0.022
0.408 0.483 -24.034 0.022
0.408 0.483 -24.034 0.022
0.408 0.483 -24.034 0.022
0.405 0.485 -24.038 0.020
0.405 0.485 -24.038 0.020
0.405 0.485 -24.038 0.020
0.405 0.485 -24.038 0.020
0.401 0.486 -24.039 0.019
0.401 0.486 -24.039 0.019
0.401 0.486 -24.039 0.019
0.401 0.486 -24.039 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.041 0.019
0.400 0.487 -24.042 0.019
0.400 0.487 -24.042 0.019
0.400 0.487 -24.042 0.019
0.400 0.487 -24.042 0.019
0.400 0.487 -24.046 0.019
0.400 0.487 -24.046 0.019
0.400 0.487 -24.046 0.019
0.400 0.487 -24.046 0.019
0.400 0.488 -24.079 0.019
0.400 0.488 -24.079 0.019
0.400 0.488 -24.079 0.019
0.400 0.488 -24.079 0.019
0.402 0.478 -24.773 0.017
0.402 0.478 -24.773 0.017
0.402 0.478 -24.773 0.017
0.402 0.478 -24.773 0.017
0.412 0.424 -26.787 0.014
0.412 0.424 -26.787 0.014
0.412 0.424 -26.787 0.014
0.412 0.424 -26.787 0.014
0.421 0.391 -27.901 0.013
0.421 0.391 -27.901 0.013
0.421 0.391 -27.901 0.013
0.421 0.391 -27.901 0.013
0.421 0.387 -28.103 0.013
0.421 0.387 -28.103 0.013
0.421 0.387 -28.103 0.013
0.421 0.387 -28.103 0.013
0.422 0.386 -28.153 0.013
0.422 0.386 -28.153 0.013
0.422 0.386 -28.153 0.013
0.422 0.386 -28.153 0.013
0.422 0.386 -28.157 0.013
0.422 0.386 -28.157 0.013
0.422 0.386 -28.157 0.013
0.422 0.386 -28.157 0.013
0.422 0.386 -28.156 0.013
0.422 0.386 -28.156 0.013
0.422 0.386 -28.156 0.013
0.422 0.386 -28.156 0.013
0.422 0.386 -28.155 0.013
0.422 0.386 -28.155 0.013
0.422 0.386 -28.155 0.013
0.422 0.386 -28.155 0.013
