Nu Mu Alpha TotalCost
0.490 0.660 -24.300 30.382
0.490 0.660 -24.300 30.382
0.490 0.660 -24.300 30.382
0.490 0.660 -24.300 30.382
0.400 0.001 -23.554 1.676
0.400 0.001 -23.554 1.676
0.400 0.001 -23.554 1.676
0.400 0.001 -23.554 1.676
0.401 0.011 -23.566 1.611
0.401 0.011 -23.566 1.611
0.401 0.011 -23.566 1.611
0.401 0.011 -23.566 1.611
0.403 0.053 -23.612 1.361
0.403 0.053 -23.612 1.361
0.403 0.053 -23.612 1.361
0.403 0.053 -23.612 1.361
0.412 0.218 -23.797 0.540
0.412 0.218 -23.797 0.540
0.412 0.218 -23.797 0.540
0.412 0.218 -23.797 0.540
0.495 0.688 -24.336 103.961
0.495 0.688 -24.336 103.961
0.495 0.688 -24.336 103.961
0.495 0.688 -24.336 103.961
0.439 0.371 -23.972 0.083
0.439 0.371 -23.972 0.083
0.439 0.371 -23.972 0.083
0.439 0.371 -23.972 0.083
0.438 0.399 -24.005 0.070
0.438 0.399 -24.005 0.070
0.438 0.399 -24.005 0.070
0.438 0.399 -24.005 0.070
0.428 0.444 -24.055 0.046
0.428 0.444 -24.055 0.046
0.428 0.444 -24.055 0.046
0.428 0.444 -24.055 0.046
0.410 0.504 -24.123 0.027
0.410 0.504 -24.123 0.027
0.410 0.504 -24.123 0.027
0.410 0.504 -24.123 0.027
0.405 0.511 -24.131 0.025
0.405 0.511 -24.131 0.025
0.405 0.511 -24.131 0.025
0.405 0.511 -24.131 0.025
0.402 0.512 -24.132 0.024
0.402 0.512 -24.132 0.024
0.402 0.512 -24.132 0.024
0.402 0.512 -24.132 0.024
0.401 0.512 -24.132 0.024
0.401 0.512 -24.132 0.024
0.401 0.512 -24.132 0.024
0.401 0.512 -24.132 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.512 -24.133 0.024
0.401 0.513 -24.134 0.024
0.401 0.513 -24.134 0.024
0.401 0.513 -24.134 0.024
0.401 0.513 -24.134 0.024
0.400 0.513 -24.137 0.024
0.400 0.513 -24.137 0.024
0.400 0.513 -24.137 0.024
0.400 0.513 -24.137 0.024
0.400 0.513 -24.146 0.024
0.400 0.513 -24.146 0.024
0.400 0.513 -24.146 0.024
0.400 0.513 -24.146 0.024
0.400 0.513 -24.167 0.024
0.400 0.513 -24.167 0.024
0.400 0.513 -24.167 0.024
0.400 0.513 -24.167 0.024
0.400 0.435 -26.644 0.035
0.400 0.435 -26.644 0.035
0.400 0.435 -26.644 0.035
0.400 0.435 -26.644 0.035
0.400 0.499 -24.608 0.023
0.400 0.499 -24.608 0.023
0.400 0.499 -24.608 0.023
0.400 0.499 -24.608 0.023
0.402 0.491 -25.224 0.022
0.402 0.491 -25.224 0.022
0.402 0.491 -25.224 0.022
0.402 0.491 -25.224 0.022
0.408 0.466 -26.252 0.020
0.408 0.466 -26.252 0.020
0.408 0.466 -26.252 0.020
0.408 0.466 -26.252 0.020
0.417 0.434 -27.226 0.020
0.417 0.434 -27.226 0.020
0.417 0.434 -27.226 0.020
0.417 0.434 -27.226 0.020
0.419 0.425 -27.465 0.019
0.419 0.425 -27.465 0.019
0.419 0.425 -27.465 0.019
0.419 0.425 -27.465 0.019
0.419 0.426 -27.426 0.019
0.419 0.426 -27.426 0.019
0.419 0.426 -27.426 0.019
0.419 0.426 -27.426 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
