Nu Mu Lambda TotalCost
0.490 1.150 56.350 1.414
0.490 1.150 56.350 1.414
0.490 1.150 56.350 1.414
0.400 0.500 2.000 0.474
0.400 0.500 2.000 0.474
0.400 0.500 2.000 0.474
0.400 0.640 2.559 0.401
0.400 0.640 2.559 0.401
0.400 0.640 2.559 0.401
0.409 0.649 2.902 0.400
0.409 0.649 2.902 0.400
0.409 0.649 2.902 0.400
0.424 0.648 3.637 0.399
0.424 0.648 3.637 0.399
0.424 0.648 3.637 0.399
0.495 0.629 62.227 0.394
0.495 0.629 62.227 0.394
0.495 0.629 62.227 0.394
0.495 0.623 61.684 0.394
0.495 0.623 61.684 0.394
0.495 0.623 61.684 0.394
0.495 0.616 60.970 0.394
0.495 0.616 60.970 0.394
0.495 0.616 60.970 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.956 0.394
0.495 0.616 60.956 0.394
0.495 0.616 60.956 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
0.495 0.616 60.957 0.394
