Stretch ratio (-),NeoHookean Pzz (Pa),NeoHookean Pxx (Pa)
0.1,-65885.44483470295,4.036868914995238e-12
0.11,-54436.369674016205,1.2018437729571677e-11
0.12,-45726.024338452764,-7.182927503892862e-12
0.13,-38945.33882628604,3.203566339951808e-12
0.13999999999999999,-33563.354982187506,-4.005876277095348e-12
0.14999999999999997,-29219.923437525307,2.081803312147511e-11
0.15999999999999998,-25663.76930807602,6.649943689975741e-12
0.16999999999999998,-22715.258129410024,2.2064087006286666e-11
0.17999999999999997,-20243.213333877375,8.211299458288664e-12
0.18999999999999995,-18150.036134624926,-2.2528188578305414e-11
0.19999999999999996,-16361.89571015681,-3.767128981575795e-12
0.20999999999999996,-14822.10719205444,-1.9821200372480752e-11
0.21999999999999995,-13486.566262878032,-4.2708406714156266e-13
0.22999999999999995,-12320.54150747526,3.4932796363925013e-12
0.23999999999999994,-11296.381903653275,-2.2691788535965205e-11
0.24999999999999992,-10391.85278675205,-2.3670796318692354e-11
0.2599999999999999,-9588.910826747267,-8.123561827780551e-13
0.2699999999999999,-8872.790471358712,-1.2180479405680302e-11
0.2799999999999999,-8231.314531835089,-1.4270107837820642e-11
0.2899999999999999,-7654.368195462037,6.00496636789786e-12
0.29999999999999993,-7133.493643903256,7.66545167798414e-12
0.30999999999999994,-6661.574677536658,2.0968538691360802e-11
0.3199999999999999,-6232.589210987608,-6.049928042822386e-12
0.32999999999999985,-5841.413445936624,-2.398607033816508e-11
0.33999999999999986,-5483.665747918122,2.779577916057783e-11
0.34999999999999987,-5155.581286679504,-1.9653146598527498e-11
0.3599999999999999,-4853.91070235383,1.3856478002805144e-11
0.3699999999999999,-4575.83767552054,-2.954779727203484e-11
0.3799999999999999,-4318.911475661645,-1.8022395646986088e-11
0.3899999999999999,-4080.9914563337475,2.0317840373908734e-11
0.3999999999999998,-3860.201138618583,1.0935653850386466e-11
0.4099999999999998,-3654.8900355679807,-9.068276256233327e-12
0.4199999999999998,-3463.601761311521,1.3195739434609401e-11
0.4299999999999998,-3285.0472696293336,-2.7747642795369576e-11
0.43999999999999984,-3118.082300297639,-1.3656737805606146e-11
0.44999999999999984,-2961.688293737579,-1.8732389645194783e-11
0.45999999999999985,-2814.9561775389825,1.959483703282432e-11
0.46999999999999986,-2677.072541392535,1.1384779126222994e-11
0.47999999999999976,-2547.3078066293556,6.067756757543292e-12
0.48999999999999977,-2425.006068141787,1.6321606141326113e-11
0.4999999999999998,-2309.5763438559848,-1.146054314585043e-11
0.5099999999999998,-2200.4850131899866,-7.39139330446162e-12
0.5199999999999998,-2097.2492633863944,4.223800299356246e-12
0.5299999999999998,-1999.4313930605006,3.5438143312624004e-11
0.5399999999999998,-1906.63384717855,-1.9180668272923096e-11
0.5499999999999998,-1818.4948780674738,-3.854577102182892e-11
0.5599999999999997,-1734.684743845564,-1.3787431259668947e-11
0.5699999999999997,-1654.9023695230235,-3.593374379234404e-11
0.5799999999999997,-1578.8724075204411,-2.8928464573236635e-11
0.5899999999999997,-1506.3426439191423,1.7339911309962895e-11
0.5999999999999998,-1437.081704738187,-3.757080817827244e-11
0.6099999999999998,-1370.877023219958,-2.3004678106781683e-11
0.6199999999999998,-1307.533034727209,3.3848139528077134e-11
0.6299999999999997,-1246.8695705802272,1.5074039677013014e-11
0.6399999999999997,-1188.7204261663703,1.7467467388760183e-11
