Alpha,BCsType,CompressionCostNoNorm,CompressionCostNormMax,CompressionCostStep,ConstitutiveModel,Lambda,Mu,NumberElements,SimpleShearCostNoNorm,SimpleShearCostNormMax,SimpleShearCostStep,TensileCostNoNorm,TensileCostNormMax,TensileCostStep,TotalCostNoNorm,TotalCostNormMax,TotalCostStep
-25.0,Fixed,0.30379038054264457,0.543831679602931,43.57443332548852,Ogden,2.1,1.4,20.0,0.03020410924130268,0.4331974065758389,6.95303906369773,0.009867620225416075,0.39537343698056543,3988.15525679282,0.11462070333645445,0.45746750771977845,1346.2275763940022
-27.0,Fixed,0.22496556005086432,0.40272308213558344,35.941247698029734,Ogden,1.6,1.3,20.0,0.026516635779943218,0.3803104325711966,6.204299752201959,0.003165261063827575,0.12682492000683993,3445.8655306824185,0.08488248563154505,0.30328614490454003,1162.67035937755
-20.0,Fixed,0.28586188963986525,0.5117369131294558,139.39707759922604,Ogden,1.8,1.7,20.0,0.03201117920600913,0.4591150065937021,12.86730129124461,0.013180763141862596,0.5281236515367849,11895.22692166833,0.11035127732924566,0.4996585237533142,4015.8304335196003
-34.0,Fixed,0.03296027340112181,0.059003977716100484,2.0126432640552054,Ogden,1.5,0.7,20.0,0.0023612290477132225,0.0338655343757719,1.8927621055154074,0.0014501457567496338,0.05810409185510683,425.40023587579725,0.012257216068528221,0.05032453464899308,143.10188041512262
-34.0,Fixed,2.8643267961695,5.127587153056275,104.43167735731784,Ogden,1.6,2.1,20.0,0.4221229875540704,6.054228648279835,26.109953433236562,0.012947487086440125,0.5187768025812391,7974.23750881574,1.0997990902700034,3.900197534639117,2701.5930465354313
-22.0,Fixed,0.04201812911954587,0.07521893778215857,78.67699683936729,Ogden,1.0,1.3,20.0,0.006349869815942853,0.09107195032254511,7.819085026232433,0.0044295978307535575,0.17748406188918198,7286.466954607641,0.01759919892208076,0.1145916499979619,2457.65434549108
-24.0,Fixed,0.8887626124317936,1.5910222812970956,82.31020929461953,Ogden,2.9,1.8,20.0,0.08800305042423487,1.262169094608172,12.605506123347652,0.040275018633112405,1.6137297724952253,6716.588414727676,0.33901356049638026,1.4889737161334977,2270.501376715214
-38.0,Fixed,0.5451562212101171,0.9759137958782984,3.1051499228941433,Ogden,2.6,0.8,20.0,0.04820256592425687,0.6913372740731217,2.8559937728390854,0.0029142470081626546,0.11676734911826367,314.5767697734338,0.1987576780475122,0.5946728063565613,106.84597115638901
-31.0,Fixed,0.6518141213611831,1.166847902739966,14.932899579140319,Ogden,2.8,1.2,20.0,0.05798856316698833,0.8316913097588549,5.161832651989328,0.014308538748446203,0.5733110936486444,1348.2971158834146,0.24137040775887253,0.8572834353824884,456.13061603818136
-40.0,Fixed,0.2702540089131493,0.48379639712137706,2.646711223600978,Ogden,1.9,0.1,20.0,0.05477196597750606,0.7855578002634842,4.116364075661114,0.017062864152365763,0.6836707423414116,5.438931298750558,0.11402961301434038,0.651008313242091,4.067335532670883
-26.0,Fixed,0.044658152806872804,0.07994498774300976,14.453853031237253,Ogden,1.8,1.0,20.0,0.002976473524054726,0.04268957581437168,3.2205675224959593,0.0015020596668801353,0.060184165936447064,1651.9688420001921,0.016378895332602554,0.06093957649794284,556.5477541846418
-26.0,Fixed,1.280272227896038,2.2918849332951554,149.4446557596379,Ogden,1.9,2.1,20.0,0.16775297369420067,2.4059690874889195,20.768414735542837,0.02239217216041256,0.8972041755031712,12045.234196628338,0.4901391245835504,1.8650193987624153,4071.81575570784
-40.0,Fixed,0.101771031916619,0.18218585829898976,0.23808355957347999,Ogden,2.2,0.5,20.0,0.005443212937431424,0.07806837503788772,1.5368153781955673,0.0005247154758982683,0.02102417365115445,93.85736322374082,0.035912986776649565,0.09375946899601063,31.87742072050329
-35.0,Fixed,0.9157203771471576,1.6392808418127705,32.708281181965006,Ogden,1.3,1.4,20.0,0.13677162750418448,1.961624289417847,9.619178947413545,0.0017742724629922805,0.07109112286530582,2936.7634542932637,0.3514220923714448,1.2239987513653077,993.0303048075475
-28.0,Fixed,0.8515762888038663,1.5244530212674974,96.37144833290947,Ogden,1.5,1.8,20.0,0.11932359630253245,1.7113788077178214,14.760471401765088,0.008174764668158602,0.3275445071378266,8125.247918244573,0.3263582165915191,1.1877921120410484,2745.459945993083
-21.0,Fixed,0.07223940234347352,0.12931968234079202,9.964678311831161,Ogden,1.2,0.7,20.0,0.012409538871003083,0.17798174456240792,2.871612844715623,0.003981338351740712,0.15952330875643228,1306.773380873432,0.02954342652207244,0.1556082452198774,439.8698906766596
-23.0,Fixed,0.45033205801278275,0.8061639050277885,2.90443063833173,Ogden,3.0,0.1,20.0,0.082266913859081,1.1798995112234203,4.830446345364239,0.012365473571047128,0.4954568248466516,7.232535008299519,0.18165481514763696,0.8271734136992869,4.989137330665163
-32.0,Fixed,0.13901270972685725,0.24885421086037057,2.969721086601455,Ogden,2.5,0.8,20.0,0.006856221673216278,0.09833421750722857,2.014172143715674,0.0020973099177531863,0.08403451000877366,456.5171497103801,0.04932208043927558,0.14374097945879094,153.8336809802324
-32.0,Fixed,2.451746910580053,4.389005464756249,65.19531734925486,Ogden,2.6,1.9,20.0,0.30357431321526746,4.353964029770654,18.982664954922658,0.03463969116352853,1.3879348250547523,4775.849007471066,0.9299869716529496,3.3769681065272183,1620.0089965917477
-27.0,Fixed,0.4916065305026448,0.8800515826388831,3.344582638621663,Ogden,1.6,0.1,20.0,0.07838877799062241,1.1242779933980354,4.739042223554499,0.021136253194611904,0.846882316054355,8.695926182215103,0.1970438538959597,0.9504039640304245,5.593183681463755
-27.0,Fixed,0.04761414290517685,0.085236666357648,0.7026739290423029,Ogden,1.9,0.5,20.0,0.013824274283689306,0.19827235160764453,2.051689398595632,0.002063631520192441,0.08268509206489161,224.79602947171088,0.0211673495696862,0.1220647033433947,75.85013093311628
-36.0,Fixed,2.412266848344756,4.318330058517585,83.70819154459102,Ogden,1.2,1.9,20.0,0.3709596310144294,5.320426727898106,21.87204602932522,0.004371036944581576,0.17513765836842152,6638.662510212336,0.9291991721012556,3.2712981482613706,2248.0809159287505
-31.0,Fixed,0.18351873254495477,0.3285268624380092,1.4527587257927717,Ogden,2.7,0.2,20.0,0.04662449372254802,0.6687040363335731,3.4478932909756903,0.00645009584366733,0.2584408909451398,15.57712547574228,0.07886444070372337,0.4185572632389074,6.825925830836913
-31.0,Fixed,1.492423997952089,2.6716693531778035,38.62512451054332,Ogden,2.8,1.6,20.0,0.16350539031832428,2.345048830316491,11.466593536690905,0.0286890435857211,1.1495057072581565,2986.617701864104,0.5615394772853781,2.0554079635841505,1012.2364733037795
-40.0,Fixed,3.497163847483012,6.260463170776273,36.268523315856314,Ogden,2.0,1.6,20.0,0.49535401699537107,7.10453249208497,19.810943742328206,0.011299776764109459,0.4527567411676211,2336.5139337380924,1.3346058804141643,4.605917468009621,797.531133598759
-33.0,Fixed,2.763051216242612,4.946288230305598,79.54039673058895,Ogden,2.2,2.0,20.0,0.37141989388999286,5.327027971538311,22.525872103519006,0.026014445668909744,1.0423405603682256,5877.784901836563,1.0534951852671715,3.771885587404045,1993.2837235568904
-40.0,Fixed,0.886203163059203,1.5864404717984921,5.281039995013833,Ogden,2.2,0.9,20.0,0.1023860348902985,1.4684546539584602,4.527520197801234,0.002168355439855685,0.08688114492317714,447.919914488294,0.3302525177964524,1.0472587568933764,152.57615822703636
-40.0,Fixed,6.280759355315562,11.243528854606405,66.59596088103513,Ogden,2.3,2.0,20.0,0.8916497053672912,12.78833740314476,34.9324871689878,0.028139090023166217,1.1274703000130564,3863.1680986635465,2.4001827169020062,8.38644551925474,1321.56551557119
-28.0,Fixed,0.0021147859519284754,0.003785793329543898,6.541376962506352,Ogden,1.4,0.8,20.0,0.00027732741424608357,0.00397752225248558,2.365052966705294,0.0014970403085134282,0.059983051491064324,945.6165084886384,0.0012963845582293291,0.022582122357697937,318.17431280595
-21.0,Fixed,0.03747378847110912,0.06708386647702778,47.27489495827278,Ogden,1.6,1.2,20.0,0.0036451155285521317,0.0522794624076786,5.564595994356774,0.0030694656202909626,0.1229866111853681,4559.551920278135,0.014729456539984071,0.08078331335669149,1537.4638037435882
-28.0,Fixed,0.2042344615210623,0.3656112153498823,24.45600379062496,Ogden,1.7,1.2,20.0,0.022308730532581193,0.3199592523489562,5.031569694378548,0.0026677374147008872,0.10689026193926747,2458.1701657042663,0.0764036431561148,0.26415357654603533,829.2192463964233
-35.0,Fixed,0.22545023273988052,0.4035907210715317,1.8107827113260275,Ogden,1.3,0.2,20.0,0.03932013512661345,0.5639424896453544,3.2823500849338942,0.01557202713792712,0.6239362429472987,20.898050833764806,0.0934474650014737,0.5304898178880616,8.66372787667491
-30.0,Fixed,0.3164131305316017,0.5664283507530856,7.674355564113586,Ogden,3.0,1.0,20.0,0.01932230781446286,0.27712698187567436,2.989108944315937,0.0103448283959791,0.41449409933284553,824.1325334176751,0.11536008891401456,0.4193498106538685,278.2653326420349
-25.0,Fixed,0.30377909525905444,0.5438114772031097,28.4893880928348,Ogden,2.7,1.3,20.0,0.023197209440470865,0.33270211311734543,5.346857554400241,0.015966657683421252,0.6397482048535396,2663.1802187153894,0.11431432079431553,0.5054205983913316,899.0054881208748
-39.0,Fixed,0.009919798436451072,0.017757970595979538,0.4329676848303314,Ogden,2.4,0.3,20.0,0.007938091617227961,0.11385075700369333,2.0416200446374897,0.003084236875587804,0.12357846229453288,26.729208120173013,0.0069807089764222785,0.08506239663140192,9.734598616546945
-34.0,Fixed,0.02708422045788006,0.048484935816713134,0.5642662268812874,Ogden,2.1,0.6,20.0,0.0003716640079011701,0.00533052913608867,1.5633548852848353,0.00038560530621555,0.015450340786697318,214.945183314762,0.009280496590665594,0.023088601913166373,72.35760147564271
-27.0,Fixed,0.5542100503458826,0.9921215477397834,66.41713194901547,Ogden,1.7,1.6,20.0,0.07035519742250937,1.0090577020190818,10.529359471526348,0.007975850328859824,0.31957445517020944,5796.482615373575,0.21084703269908392,0.7735845683096917,1957.8097022647055
-20.0,Fixed,0.5710257709449152,1.0222242835827369,215.97942461370624,Ogden,1.9,2.0,20.0,0.06732642405415207,0.9656180243978605,19.16756845858368,0.022414994137649153,0.8981186010052273,17780.20532737961,0.2202557297122388,0.9619869696619415,6005.117440150632
-27.0,Fixed,0.02985892540861218,0.05345208603083058,8.536123627233579,Ogden,1.9,0.9,20.0,0.0012879564332530502,0.01847230064659326,2.5609645146323445,0.0010420606639073254,0.04175303637751388,1099.8408138702416,0.010729647501924185,0.03789247435164591,370.31263400403583
-36.0,Fixed,0.16718488172324605,0.29928674788636805,7.246155438184653,Ogden,1.1,0.9,20.0,0.025382295077450365,0.36404133995973953,3.282110374925132,0.00250116718027043,0.1002161657964306,955.7104368144032,0.06502278132698895,0.2545147512141794,322.0795675425043
-29.0,Fixed,0.254834332425732,0.4561927957561625,36.241776729240456,Ogden,1.3,1.3,20.0,0.035429238514589255,0.5081379529805643,6.599986963115821,0.0018821240479618888,0.07541249426581871,3494.036348528846,0.09738189832942772,0.3465810810008485,1178.9593707404008
-36.0,Fixed,0.8992617265974918,1.609817316481803,23.57551611769946,Ogden,1.4,1.3,20.0,0.1309063656935958,1.8775027487050728,8.37201704864034,0.0015117036261355341,0.06057057777940454,2151.3602755026886,0.343893265305741,1.1826302143220935,727.7692695563428
-22.0,Fixed,0.45317621250201057,0.8112553806372667,2.3900139332135013,Ogden,1.0,0.2,20.0,0.0655928169240898,0.9407540528513196,4.0719435800710615,0.019823284964369733,0.7942746203811821,53.60176455892905,0.17953077146349003,0.8487613512899227,20.021240690737873
-38.0,Fixed,0.37366048232398047,0.6689099481705487,10.646499135599594,Ogden,1.0,1.0,20.0,0.05997182589156921,0.8601359250919277,4.649397996452805,0.002767292154002698,0.11087919732047295,1224.530317634487,0.14546653345651744,0.5466416901943164,413.2754049221798
-24.0,Fixed,0.6949118135678889,1.2439994251085054,72.55476219346892,Ogden,2.7,1.7,20.0,0.06850290217941528,0.9824914659777996,10.956033110297508,0.03066305146784206,1.2285997809204803,6067.198155924902,0.2646925890717154,1.1516968906689284,2050.236317076223
-24.0,Fixed,1.4349735771558865,2.568824230894189,127.84360000476958,Ogden,3.0,2.1,20.0,0.15338854566834476,2.1999496707919053,18.94086473909142,0.05812727613550048,2.3290297379723257,10013.389641644259,0.548829799653244,2.3659345465528063,3386.7247021293733
-33.0,Fixed,1.1784188257409778,2.109551619553236,25.21919286656331,Ogden,2.4,1.4,20.0,0.13538255196787818,1.9417017048761722,8.852962406896744,0.013938471855766396,0.5584833422831561,2061.3202389070493,0.44257994985487414,1.536578888904188,698.4641313935032
-21.0,Fixed,0.08005844452621147,0.14331697493290438,3.6992730976305714,Ogden,1.8,0.6,20.0,0.017737613745172475,0.254398771103149,2.3963559519027577,0.0015517862461050121,0.0621765985684596,624.3472343612265,0.03311594817249632,0.15329744820150434,210.14762113691992
-35.0,Fixed,1.7101513807015158,3.061434980531331,57.530310682030645,Ogden,1.4,1.7,20.0,0.25531419436402447,3.6618013124271456,15.960154632624121,0.004530460583944162,0.1815254064566976,4692.721136223924,0.6566653452164949,2.3015872331383913,1588.7372005128598
-28.0,Fixed,1.4280079550171527,2.5563546919297875,145.41166696262854,Ogden,1.6,2.1,20.0,0.20186937217618445,2.895277850943314,21.728854133587276,0.014761147911663119,0.5914461288832846,11745.11275629701,0.5482128250350001,2.0143595572521287,3970.751092464409
