Alpha,BCsType,CompressionCostNoNorm,CompressionCostNormMax,CompressionCostStep,ConstitutiveModel,Lambda,Mu,NumberElements,SimpleShearCostNoNorm,SimpleShearCostNormMax,SimpleShearCostStep,TensileCostNoNorm,TensileCostNormMax,TensileCostStep,TotalCostNoNorm,TotalCostNormMax,TotalCostStep
-16.0,Fixed,0.08926605646244878,0.06907263564892277,30.99729457413429,Ogden,4.5,1.9,20.0,0.028050301930272546,0.09710678122915978,1713.1837047291651,0.011242666612863893,0.06447174605603057,11469.406529570935,0.04285300833519507,0.07688372097803771,4404.529176291411
-18.0,Fixed,0.06738455389916297,0.05214108166411544,24.418098426930612,Ogden,4.0,1.8,20.0,0.02634569885121928,0.0912056498013538,1331.4577379614789,0.012623625286269233,0.07239093640218831,8516.746897075032,0.035451292678883826,0.07191255595588586,3290.874244487814
-11.0,Fixed,0.15959261202834832,0.12349019078188134,85.51765029073482,Ogden,4.2,2.2,20.0,0.030900945370183903,0.10697536694242317,6060.961519480528,0.02374571509304211,0.1361712275311776,39023.87849022745,0.07141309083052477,0.12221226175182737,15056.785886666237
-25.0,Fixed,0.007342050027472776,0.005681159967866677,6.909959785849022,Ogden,3.9,1.2,20.0,0.04228030802806802,0.14636935574487048,189.5775594597359,0.02672955159830368,0.15328221694892158,1372.8497874412246,0.02545063655128149,0.10177757755388624,523.1124355622699
-25.0,Fixed,1.711018309626822,1.3239583888104822,36.83866116459896,Ogden,4.0,2.6,20.0,0.07670351390419027,0.265538366136569,2346.65256943236,0.014350907022052904,0.08229613712291815,12332.188562058114,0.600690910184355,0.5572642973566565,4905.22659755169
-13.0,Fixed,0.0483953037485122,0.03744750597721464,45.111715652535466,Ogden,3.4,1.8,20.0,0.052026193677331925,0.1801084430452503,2985.120147100967,0.02473128857712229,0.141823057792912,18789.353333474442,0.04171759533432214,0.1197930022717923,7273.195065409315
-15.0,Fixed,0.341334013605433,0.26411875790962613,49.35163395335218,Ogden,5.3,2.3,20.0,0.015349997743236383,0.05313985127239837,2954.56100257202,0.02265146749536712,0.12989619904647612,19656.09634823857,0.1264451596146788,0.14905160274283355,7553.336328254648
-29.0,Fixed,0.30927860482307257,0.23931479928138,6.396729180987148,Ogden,5.0,1.3,20.0,0.004803448061214163,0.016628961113696765,136.37441892050362,0.010904356197145113,0.06253168468434722,1019.9730046201787,0.10832880302714397,0.10615848169314133,387.5813842405565
-22.0,Fixed,0.22586666657955004,0.1747719859502126,14.273617228072633,Ogden,5.2,1.7,20.0,0.011577624805315235,0.04008034857941069,542.4819942417924,0.00859265302888506,0.04927508420395478,3848.4140802654797,0.08201231480458344,0.08804247291119267,1468.389897245115
-31.0,Fixed,0.06884149667923449,0.05326844050349179,2.6137164777982385,Ogden,4.3,0.6,20.0,0.11616984192122687,0.40216606056193865,9.137948359105359,0.06058464715552743,0.34742629313904266,99.23922834976858,0.08186532858532959,0.26762026473482436,36.99696439555739
-17.0,Fixed,0.016693256381364804,0.01291697271637752,17.233162194156602,Ogden,4.2,1.5,20.0,0.05914510306642058,0.2047532535843619,758.6895647319315,0.01546186629883612,0.088666999733876,5476.8057672686355,0.030433408582207166,0.10211240867820515,2084.2428313982414
-17.0,Fixed,0.6346499431763075,0.4910818963764503,61.815083273128096,Ogden,4.3,2.6,20.0,0.017985132947315508,0.062262373318965246,4444.621883167456,0.02081584708346679,0.11936972368911802,25484.14594981304,0.22448364106902996,0.22423799779484452,9996.860972084542
-31.0,Fixed,0.09994984563590716,0.07733957950387653,3.990785116643626,Ogden,4.6,1.0,20.0,0.02266231620342775,0.0784542208202505,52.97283137317806,0.024682866321989485,0.1415453774663593,437.42777507785723,0.04909834272044147,0.09911305926349545,164.79713052255963
-26.0,Fixed,0.5618659736512885,0.43476283393193904,17.421631821739865,Ogden,3.7,1.9,20.0,0.00659680210295081,0.022837337730470596,879.0786137920608,0.011753537955481416,0.0674013684136707,4975.283168874734,0.19340543790324025,0.17500051335869346,1957.2611381628446
-19.0,Fixed,0.41717498462106944,0.32280327883306625,40.722298137771624,Ogden,3.9,2.3,20.0,0.01056193539128878,0.03656415363898489,2735.1750106843174,0.013022536321184159,0.0746785156596357,15578.385965400668,0.14691981877784746,0.1446819827105623,6118.094424740918
-12.0,Fixed,0.20698427610507597,0.16016109655831154,19.789513598014643,Ogden,3.6,1.2,20.0,0.13162681605972543,0.455676251285129,841.2342100406888,0.03682363187350851,0.21116732575643218,6723.703142911744,0.12514490801276998,0.27566822453329093,2528.242288850149
-14.0,Fixed,0.5399126533634229,0.41777570854945106,4.910364765815255,Ogden,5.4,0.6,20.0,0.24436721450519258,0.8459699898247881,28.69768055983676,0.05047865072127058,0.2894728504026859,492.82301995798383,0.278252839529962,0.517739516258975,175.47702176121194
-23.0,Fixed,0.025443612090615186,0.019687856920921475,7.992885640321186,Ogden,4.9,1.3,20.0,0.04091596636375037,0.14164616852756143,214.77819449186134,0.01306105024356781,0.07489937605771058,1701.4863381019861,0.026473542899311125,0.07874446716873117,641.4191394113896
-23.0,Fixed,1.2274387553917445,0.9497723243572022,30.462855961602344,Ogden,5.0,2.4,20.0,0.031423635765742676,0.10878485840594751,1647.8816684287515,0.02006302436365737,0.11505261664609422,9719.73021399997,0.42630847184038156,0.39120326646974796,3799.3582461301085
-18.0,Fixed,0.5136685966486052,0.3974684804803494,4.455674365387499,Ogden,4.0,0.6,20.0,0.22542687930203825,0.7804008208528592,28.250355155243163,0.07178690644010327,0.41166632094726807,361.61808253346317,0.2702941274635822,0.5298452074268255,131.44137068469794
-18.0,Fixed,0.14035406705928816,0.10860371478277288,7.358821815061919,Ogden,4.3,1.0,20.0,0.13047313451044398,0.45168234412175245,161.64892565345022,0.03284217003220861,0.18833539400899818,1493.6691427342603,0.10122312386731358,0.24954048430450784,554.2256300675908
-27.0,Fixed,1.5710755674824273,1.2156729506168817,29.13039329190522,Ogden,3.6,2.4,20.0,0.07096613592721687,0.2456762516600871,1774.9727162857473,0.01082401382974121,0.0620709565593241,9146.740831215138,0.5509552390797952,0.5078067196120976,3650.281313597597
-22.0,Fixed,0.19563988295087317,0.15138298799105324,3.6728727583312804,Ogden,5.1,0.7,20.0,0.16838091761212606,0.5829145429653859,23.618671911826496,0.04300603692301595,0.2466206983496652,298.1602082530022,0.1356756124953384,0.3269727431020348,108.48391764105332
-22.0,Fixed,0.6530796657653934,0.5053425186549998,23.06712437735723,Ogden,5.2,2.1,20.0,0.007821675628216554,0.027077702976700035,1101.393374919418,0.014363520843862327,0.08236847184069432,7046.8539062761065,0.22508828741249076,0.20492956449079802,2723.771468524294
-31.0,Fixed,2.2717927925804773,1.757876644833868,17.91146170485272,Ogden,4.4,2.1,20.0,0.10463168659799912,0.36222235059596686,719.390155312178,0.008938901310045207,0.051260665741145586,3979.6193164925494,0.7951211268295073,0.7237865537236602,1572.3069778365268
-24.0,Fixed,1.497323995670232,1.1586051731189244,33.09803887677078,Ogden,4.6,2.5,20.0,0.05165204382397655,0.1788131811244689,1914.4421238596249,0.017935093324170974,0.1028498684612875,10711.462211729957,0.5223037109394598,0.48008940756822693,4219.667458155451
-31.0,Fixed,0.6076374112499933,0.47018003457541857,7.302151225090869,Ogden,4.6,1.4,20.0,0.0012893752961425566,0.004463662641351889,174.75639043226067,0.011062448635655408,0.06343827525578265,1180.6590166628007,0.20666307839393042,0.17936065749085103,454.23918610671745
-31.0,Fixed,3.8946288388318084,3.0136010196169147,26.444550978772007,Ogden,4.7,2.5,20.0,0.24477233137157003,0.8473724558307992,1169.489409017066,0.0178119553578023,0.10214372640700889,6208.222164188917,1.3857377085203935,1.3210390672849077,2468.0520413949184
-19.0,Fixed,0.025210932806332246,0.019507813441202074,11.555299758247632,Ogden,3.8,1.3,20.0,0.07325057744242425,0.25358471421423323,432.148344782667,0.02540962049785354,0.14571299288046893,3141.3217321819225,0.04129037691553668,0.13960184017863475,1195.0084589076123
-12.0,Fixed,0.05186148267656409,0.040129579361872524,40.57665728491767,Ogden,4.0,1.7,20.0,0.06437864742494233,0.22287115649818406,2359.9040732753383,0.019083047873536003,0.10943288268193903,16515.526192585232,0.04510772599168081,0.12414453951399855,6305.335641048496
-19.0,Fixed,0.05425108652539803,0.04197861630308884,19.53645457459063,Ogden,4.1,1.7,20.0,0.028227826991289666,0.09772135169994242,966.3420072015552,0.012520271083564703,0.07179824552732368,6349.6299366779185,0.0316663948667508,0.07049940451011831,2445.1694661513548
-26.0,Fixed,0.1579198853194683,0.12219586181652266,3.5455463308993296,Ogden,3.7,0.7,20.0,0.1372811880889923,0.4752510091254973,27.5879231553055,0.0640708143473636,0.3674179280100578,270.43442023933136,0.11975729591860806,0.3216215996506926,100.52262990851206
-21.0,Fixed,0.07208837630947104,0.055780823626292574,11.374480781139093,Ogden,5.4,1.5,20.0,0.03112755895287779,0.10775987598809807,366.07520955171174,0.00841439399609565,0.048252847087980666,2868.494724296719,0.03721010975281482,0.07059784890079045,1081.98147154319
-16.0,Fixed,0.07306556958329354,0.056536960030612315,25.467229556881705,Ogden,5.1,1.8,20.0,0.03388328204813523,0.1172998588519013,1218.8208615371034,0.010365501708266034,0.05944159129596785,8883.951366128753,0.039104784446564934,0.07775947005949382,3376.079819074246
-30.0,Fixed,0.007673180112345267,0.005937383090195553,3.0719246778987506,Ogden,4.8,0.8,20.0,0.06816707714416681,0.23598624584236508,23.383867008158333,0.035000015349318875,0.20070968741317569,232.5848191509147,0.036946757535276986,0.14754443878191212,86.3468702789906
-25.0,Fixed,0.0030558666083466326,0.0023645803253202887,5.622783183273604,Ogden,4.5,1.1,20.0,0.05531898818506095,0.1915077027284246,114.85445493843672,0.023347429812353607,0.13388723669887606,942.6798859573286,0.027240761535253732,0.10925317325087365,354.38570802634626
