,Nu,Mu,Alpha,Cost,Lambda
0,0.35,0.1,-60.0,1.9065694329563203,0.23333333333333328
1,0.35,0.1,-59.0,1.5681357446354651,0.23333333333333328
2,0.35,0.1,-58.0,1.3054723173993608,0.23333333333333328
3,0.35,0.1,-57.0,1.1044129092197588,0.23333333333333328
4,0.35,0.1,-56.0,0.9532910859421836,0.23333333333333328
5,0.35,0.1,-55.0,0.8425082627602049,0.23333333333333328
6,0.35,0.1,-54.0,0.7641758846099185,0.23333333333333328
7,0.35,0.1,-53.0,0.7118190300274083,0.23333333333333328
8,0.35,0.1,-52.0,0.6801309035608577,0.23333333333333328
9,0.35,0.1,-51.0,0.6647695052107252,0.23333333333333328
10,0.35,0.1,-50.0,0.6621892370151032,0.23333333333333328
11,0.35,0.1,-49.0,0.6695014718192965,0.23333333333333328
12,0.35,0.1,-48.0,0.6843591193657126,0.23333333333333328
13,0.35,0.1,-47.0,0.7048610804803875,0.23333333333333328
14,0.35,0.1,-46.0,0.7294731817223501,0.23333333333333328
15,0.35,0.1,-45.0,0.7569627685328673,0.23333333333333328
16,0.35,0.1,-44.0,0.7863446157301407,0.23333333333333328
17,0.35,0.1,-43.0,0.816836216271315,0.23333333333333328
18,0.35,0.1,-42.0,0.8478208407635749,0.23333333333333328
19,0.35,0.1,-41.0,0.8788170356597119,0.23333333333333328
20,0.35,0.1,-40.0,0.9094534559762014,0.23333333333333328
21,0.35,0.1,-39.0,0.9394481181050168,0.23333333333333328
22,0.35,0.1,-38.0,0.9685913145340382,0.23333333333333328
23,0.35,0.1,-37.0,0.996731562778114,0.23333333333333328
24,0.35,0.1,-36.0,1.0237640683085465,0.23333333333333328
25,0.35,0.1,-35.0,1.0496212704649908,0.23333333333333328
26,0.35,0.1,-34.0,1.0742651159298144,0.23333333333333328
27,0.35,0.1,-33.0,1.0976807609180723,0.23333333333333328
28,0.35,0.1,-32.0,1.1198714623349388,0.23333333333333328
29,0.35,0.1,-31.0,1.1408544482910343,0.23333333333333328
30,0.35,0.1,-30.0,1.1606576235269006,0.23333333333333328
31,0.35,0.1,-29.0,1.1793169244792256,0.23333333333333328
32,0.35,0.1,-28.0,1.1968742589582302,0.23333333333333328
33,0.35,0.1,-27.0,1.213375936620884,0.23333333333333328
34,0.35,0.1,-26.0,1.228871461069798,0.23333333333333328
35,0.35,0.1,-25.0,1.2434127134162078,0.23333333333333328
36,0.35,0.1,-24.0,1.2570534034933127,0.23333333333333328
37,0.35,0.1,-23.0,1.2698488004259538,0.23333333333333328
38,0.35,0.1,-22.0,1.2818557607134369,0.23333333333333328
39,0.35,0.1,-21.0,1.2931330072163698,0.23333333333333328
40,0.35,0.1,-20.0,1.303741725528939,0.23333333333333328
41,0.355,0.1,-60.0,1.9048492353174933,0.2448275862068965
42,0.355,0.1,-59.0,1.5660858305962542,0.2448275862068965
43,0.355,0.1,-58.0,1.3031251996951108,0.2448275862068965
44,0.355,0.1,-57.0,1.1017984786807753,0.2448275862068965
45,0.355,0.1,-56.0,0.9504368241449792,0.2448275862068965
46,0.355,0.1,-55.0,0.8394394318793025,0.2448275862068965
47,0.355,0.1,-54.0,0.7609156990433396,0.2448275862068965
48,0.355,0.1,-53.0,0.7083888129956435,0.2448275862068965
49,0.355,0.1,-52.0,0.6765502313315727,0.2448275862068965
50,0.355,0.1,-51.0,0.6610563403409813,0.2448275862068965
51,0.355,0.1,-50.0,0.6583600522017229,0.2448275862068965
52,0.355,0.1,-49.0,0.6655713648814076,0.2448275862068965
