Stretch Ratio (-),Stress (Pa)
0.1,
5.0,
0.1,-65885.44279890094
0.11,-54436.35903750454
0.12,-45726.01974335281
0.13,-38945.33669310788
0.14,-33563.35393011481
0.15,-29219.922891150167
0.16,-25663.769011383683
0.17,-22715.257961911615
0.18,-20243.21323602119
0.19,-18150.036075695858
0.2,-16361.895673694502
0.21,-14822.107168936453
0.22,-13486.566247894983
0.23,-12320.541497570304
0.24,-11296.381896982664
0.25,-10391.852782186299
0.26,-9588.910823572764
0.27,-8872.790469121008
0.28,-8231.31453023603
0.29,-7654.368194306095
0.3,-7133.493643057885
0.31,-6661.574676911537
0.32,-6232.5892105217235
0.33,-5841.413445585286
0.34,-5483.665747651909
0.35,-5155.5812864750815
0.36,-4853.9107021960235
0.37,-4575.837675397666
0.38,-4318.911475564897
0.39,-4080.991456257992
0.4,-3860.2011385587434
0.41,-3654.8900355198766
0.42,-3463.601761272776
0.43,-3285.0472695974186
0.44,-3118.0823002724337
0.45,-2961.6882937165055
0.46,-2814.956177522496
0.47,-2677.0725413787877
0.48,-2547.307806618925
0.49,-2425.006068132645
0.5,-2309.576343849298
0.51,-2200.4850131834874
0.52,-2097.2492633807647
0.53,-1999.4313930558408
0.54,-1906.6338471749007
0.55,-1818.4948780644966
0.56,-1734.684743843134
0.57,-1654.9023695208068
0.58,-1578.8724075181906
0.59,-1506.3426439174473
0.6,-1437.0817047367268
0.61,-1370.877023218659
0.62,-1307.5330347264455
0.63,-1246.869570579652
0.64,-1188.7204261653485
0.65,-1132.9320820432283
0.66,-1079.362559634517
0.67,-1027.88039556682
0.68,-978.363720798757
0.69,-930.6994324865985
0.7,-884.7824480451263
0.71,-840.5150322458607
0.72,-797.8061892531025
0.73,-756.5711125601891
0.74,-716.730686600489
0.75,-678.2110345582746
0.76,-640.9431075302493
0.77,-604.8623108849379
0.78,-569.908163619457
0.79,-536.0239885326029
0.8,-503.1566277983617
0.81,-471.2561847893038
0.82,-440.2757865034034
0.83,-410.1713664073738
0.84,-380.9014651869734
0.85,-352.42704781085416
0.86,-324.7113353878221
0.87,-297.71965048238405
0.88,-271.4192746569324
0.89,-245.77931716502206
0.9,-220.77059377952747
0.91,-196.36551491236813
0.92,-172.5379821887458
0.93,-149.26329276102723
0.94,-126.51805071541384
0.95,-104.28008496951735
0.96,-82.52837312531577
0.97,-61.242970785096375
0.98,-40.404945897874555
0.99,-19.99631771325428
1.0,1.1188328041811241e-10
1.01,19.60025183346986
1.02,38.819889998313435
1.03,57.67362025519773
1.04,76.17544477082009
1.05,94.33870212812583
1.06,112.17610470879687
1.07,129.6997736406426
1.08,146.92127148967546
1.09,163.85163286587292
1.1,180.501393086741
1.11,196.88061504317176
1.12,212.9989143927943
1.13,228.86548320320472
1.14,244.4891121424693
1.15,259.8782113347576
1.16,275.04082995219784
1.17,289.98467465011987
1.18,304.7171269051158
1.19,319.24525934124466
1.2,333.5758511101778
1.21,347.71540237821995
1.22,361.67014799371736
1.23,375.44607037495393
1.24,389.0489116727692
1.25,402.48418525999205
1.26,415.75718657927496
1.27,428.8730041848849
1.28,441.8365255093113
1.29,454.6524538945256
1.3,467.32530941312524
1.31,479.8594410156573
1.32,492.25903352873274
1.33,504.5281151263069
1.34,516.6705638482445
1.35,528.6901151768068
1.36,540.5903672184043
1.37,552.3747879204587
1.38,564.0467192027886
1.39,575.6093837362771
1.4,587.0658890648112
1.41,598.4192335742931
1.42,609.6723096079999
1.43,620.8279095880333
1.44,631.8887281975371
1.45,642.8573686376499
1.46,653.7363446966949
1.47,664.5280849632064
1.48,675.2349362195799
1.49,685.8591667736222
1.5,696.4029696873829
1.51,706.8684655315435
1.52,717.2577050529652
1.53,727.5726728071436
1.54,737.8152887296161
1.55,747.9874106234289
1.56,758.0908375140854
1.57,768.127311419845
1.58,778.0985190911626
1.59,788.0060940359454
1.6,797.8516192828079
1.61,807.6366287760193
1.62,817.362609538099
1.63,827.0310023296669
1.64,836.6432047883816
1.65,846.2005721101563
1.66,855.7044185912903
1.67,865.1560197092223
