Stretch Ratio (-),Stress (Pa)
0.6,
5.0,
0.6,-2437453.5972109516
0.61,-2287369.4744390813
0.62,-2090578.8066771156
0.63,-1857309.4625929634
0.64,-1601753.5699649642
0.65,-1340281.1762848261
0.66,-1088898.2912408041
0.67,-860656.5489197772
0.68,-663878.617048223
0.69,-501742.95951196505
0.7,-373138.53075482027
0.71,-274197.2547857329
0.72,-199834.71216074878
0.73,-144888.9748080466
0.74,-104765.31529272778
0.75,-75687.41567299982
0.76,-54707.52619094172
0.77,-39601.60256344625
0.78,-28728.800703978068
0.79,-20895.961987460338
0.8,-15243.256833990697
0.81,-11154.281811082634
0.82,-8188.266265449516
0.83,-6030.243989149645
0.84,-4455.006970863546
0.85,-3301.2806884363495
0.86,-2453.3254096517617
0.87,-1827.8647769227737
0.88,-1364.8074674890038
0.89,-1020.6584412993514
0.9,-763.8338375357212
0.91,-571.3229123044206
0.92,-426.3039656279646
0.93,-316.43698250331846
0.94,-232.63732949059633
0.95,-168.19227522435082
0.96,-118.12249588616466
0.97,-78.71915853377351
0.98,-47.2072177459463
0.99,-21.49971809015864
1.0,0.0
1.01,18.440830792607304
1.02,34.80045755153304
1.03,49.77817606204427
1.04,63.93792414662058
1.05,77.73016910152285
1.06,91.52167760841569
1.07,105.61787444317727
1.08,120.27972498759051
1.09,135.73654176652002
1.1,152.195773896776
1.11,169.8505417240883
1.12,188.88549168881514
1.13,209.48139618419927
1.14,231.81881535776844
1.15,256.08105771089186
1.16,282.45661691194715
1.17,311.14121799650826
1.18,342.33957311982635
1.19,376.2669221972876
1.2,413.1504152247047
1.21,453.2303789148116
1.22,496.761499614046
1.23,544.0139462573028
1.24,595.2744507899968
1.25,650.847358548082
1.26,711.0556571761972
1.27,776.2419895121501
1.28,846.7696532822304
1.29,923.0235882706023
1.3,1005.4113497402847
1.31,1094.3640652132447
1.32,1190.3373701872388
1.33,1293.812317602355
1.34,1405.2962492539386
1.35,1525.3236344398076
1.36,1654.4568430612258
1.37,1793.2868651363628
1.38,1942.433950707459
1.39,2102.5481613166085
1.4,2274.3098206493078
1.41,2458.429829558615
1.42,2655.649886758517
1.43,2866.742501745062
1.44,3092.5108783583123
1.45,3333.7885930796497
