Stretch Ratio (-),Stress (Pa)
1.0,
0.5,
1.0,0.0
0.99,-4375.432575193941
0.98,-8776.387372624547
0.97,-13161.986099781248
0.96,-17772.28167479353
0.95,-22460.20227066566
0.94,-27137.534254996855
0.93,-31803.74628979613
0.92,-36460.09462837605
0.91,-41107.76455615043
0.9,-45747.7096290724
0.89,-50380.67370352927
0.88,-55007.231435831796
0.87,-59627.82315183779
0.86,-64242.78195158196
0.85,-68852.35447214516
0.84,-73456.71700577204
0.83,-78055.98828568804
0.82,-82650.23990940466
0.81,-87239.5050934052
0.8,-91823.78625930431
0.79,-96403.06181643104
0.78,-100977.29241138653
0.77,-105546.42684845753
0.76,-110110.40783696798
0.75,-114669.17768673445
0.74,-119222.68404680271
0.73,-123770.88576288382
0.72,-128313.75891363203
0.71,-132851.3030738937
0.7,-137383.54784358497
0.69,-141910.55967340645
0.68,-146432.44901294788
0.67,-150949.37780275385
0.66,-155461.5673295985
0.65,-159969.30646371347
0.64,-164472.96029806972
0.63,-168972.97921338415
0.62,-173469.90839839345
0.61,-177964.39786349863
0.6,-182457.21299730468
0.59,-186949.2457302375
0.58,-191441.52638754842
0.57,-195935.23633598333
0.56,-200431.72155452392
0.55,-204932.5072903409
0.54,-209439.31399690142
0.53,-213954.07479262966
0.52,-218478.95472645407
0.51,-223016.37219189026
0.5,-227569.0228952575
