Stretch Ratio (-),Stress (Pa)
0.1,
5.0,
0.1,311.56054341390575
0.11,288.3321393314455
0.12,269.12085324675417
0.13,253.00429838299567
0.14,239.32386056868637
0.15,227.59678857810945
0.16,217.46125179760745
0.17,208.6407904960354
0.18,200.9206172469642
0.19,194.13140341052608
0.2,188.1379310340335
0.21,182.83098850398923
0.22,178.12147799603116
0.23,173.93606172814214
0.24,170.21389837304298
0.25,166.90416457591442
0.26,163.964150407981
0.27,161.35778018495836
0.28,159.05445255699843
0.29,157.02812307863266
0.3,155.25657298272358
0.31,153.7208224488852
0.32,152.40465713235474
0.33,151.29424434815724
0.34,150.37782092103095
0.35,149.64543889843304
0.36,149.08875847320493
0.37,148.70087986403763
0.38,148.4762077499944
0.39,148.41034330276096
0.4,148.49999999997002
0.41,148.74294033386067
0.42,149.13793128693652
0.43,149.6847170989219
0.44,150.3840084166201
0.45,151.2374874431193
0.46,152.2478292046501
0.47,153.41873956247613
0.48,154.75501113589917
0.49,156.26259890445118
0.5,157.94871794871452
0.51,159.8219666151774
0.52,161.89247940375265
0.53,164.17211513664614
0.54,166.67468757130752
0.55,169.41624768263748
0.56,172.41542954489867
0.57,175.69387524321476
0.58,179.27675908370676
0.59,183.1934376247172
0.6,187.47826086957073
0.61,192.1715919282847
0.62,197.32109927530885
0.63,202.98340952608095
0.64,209.2262428503966
0.65,216.1312030472948
0.66,223.79746835443805
0.67,232.34674105677834
0.68,241.92998665435152
0.69,252.73676586009503
0.7,265.00840336154937
0.71,279.0569699383134
0.72,295.293311403589
0.73,314.26959130234076
0.74,336.74594800631615
0.75,363.79888268151706
0.76,397.0054209842613
0.77,438.7730160411919
0.78,492.9702252439741
0.79,566.2354490874102
0.8,670.9999999268683
0.81,833.5772818746403
0.82,1121.0619335002227
0.83,1770.3605531493254
0.84,4651.428571415778
0.85,-6185.715369892205
0.86,-1753.3324574052851
0.87,-982.3830484137807
0.88,-660.6637163013222
0.89,-483.0935579092659
0.9,-369.73643410822604
0.91,-290.44461642468013
0.92,-231.30434782597473
0.93,-184.99198155281547
0.94,-147.2720806912233
0.95,-115.51107276372178
0.96,-87.97069271749997
0.97,-63.441345452446186
0.98,-41.037599781727025
0.99,-20.0764671338258
1.0,1.0665720158916277e-10
1.01,19.677912486317183
1.02,39.41205738945788
1.03,59.661165986969706
1.04,80.92383107099174
1.05,103.78115501534526
1.06,128.95423459404503
1.07,157.38942425956057
1.08,190.39454041393645
1.09,229.87104964591046
1.1,278.73684210534884
1.11,341.7559935203432
1.12,427.32501023339245
1.13,551.8133558170654
1.14,752.0599719640314
1.15,1132.068947774416
1.16,2144.6941045620115
1.17,13663.671309118161
1.18,-3333.2897692461497
1.19,-1523.1390400757007
1.2,-1001.0000000004538
1.21,-752.1752499641138
1.22,-606.181010104616
1.23,-509.9464684847504
1.24,-441.57936996687715
1.25,-390.3999999996795
1.26,-350.5763539110056
1.27,-318.6530259633338
1.28,-292.4519231786042
1.29,-270.5315463323926
1.3,-251.8995615769493
1.31,-235.8502538246253
1.32,-221.86783178561444
1.33,-209.56642436350148
1.34,-198.6514891318278
1.35,-188.89421707818548
1.36,-180.1140973631702
1.37,-172.1667591025838
1.38,-164.93531539217562
1.39,-158.32408588393292
1.4,-152.25396825396805
1.41,-146.65897404626986
1.42,-141.48360059558942
1.43,-136.68081244947751
1.44,-132.2104733131923
1.45,-128.03811524832986
1.46,-124.13396329542991
1.47,-120.47215563798157
1.48,-117.03011496231122
1.49,-113.78803781190234
1.5,-110.72847682124451
1.51,-107.8359966506106
1.52,-105.0968888461935
1.53,-102.49893413934561
1.54,-100.03120321106714
1.55,-97.68388879691577
1.56,-95.44816355711119
1.57,-93.31605913636159
1.58,-91.28036285125364
1.59,-89.33452904717107
1.6,-87.4726027397279
1.61,-85.68915359244166
1.62,-83.97921863006741
1.63,-82.33825235849534
1.64,-80.76208319270695
1.65,-79.24687527704992
1.66,-77.78909493035314
1.67,-76.38548107258518
1.68,-75.03301908806908
1.69,-73.72891766739482
1.7,-72.47058823529453
