Stretch Ratio (-),Stress (Pa)
0.1,
5.0,
0.1,-65933.99999998884
0.11,-54472.85453236373
0.12,-45754.13332815498
0.13,-38967.45443565357
0.14,-33581.06938674106
0.15,-29234.33333284207
0.16,-25675.649999749898
0.17,-22725.170242081364
0.18,-20251.570370296766
0.19,-18157.14847641218
0.2,-16367.999999975147
0.21,-14827.386394542755
0.22,-13491.163636354286
0.23,-12324.570510390975
0.24,-11299.933333329456
0.25,-10394.999999997424
0.26,-9591.713609465667
0.27,-8875.29794238562
0.28,-8233.567346937903
0.29,-7656.40023781152
0.3,-7135.3333333329565
0.31,-6663.245993756159
0.32,-6234.11249999973
0.33,-5842.806060605856
0.34,-5484.942560553492
0.35,-5156.755102040693
0.36,-4854.9925925924845
0.37,-4576.837253469606
0.38,-4319.837119113495
0.39,-4081.850493096582
0.4,-3860.999999999939
0.41,-3655.6343842950146
0.42,-3464.2965986394115
0.43,-3285.697025419103
0.44,-3118.6909091278485
0.45,-2962.259259259218
0.46,-2815.492627599208
0.47,-2677.577274784932
0.48,-2547.7833333348785
0.49,-2425.454643898319
0.5,-2309.999999999921
0.51,-2200.885582467526
0.52,-2097.628402366917
0.53,-1999.7906016376096
0.54,-1906.9744855967149
0.55,-1818.818181818221
0.56,-1734.9918367346936
0.57,-1655.1942751615852
0.58,-1579.150059453029
0.59,-1506.606894570522
0.6,-1437.3333333333278
0.61,-1371.116742811068
0.62,-1307.7614984391203
0.63,-1247.0873771730867
0.64,-1188.9281249999954
0.65,-1133.1301775147879
0.66,-1079.5515151515092
0.67,-1028.0606371129375
0.68,-978.5356401384036
0.69,-930.8633900441033
0.7,-884.9387755101991
0.71,-840.6640349137033
0.72,-797.948148148162
0.73,-756.7062863576614
0.74,-716.8593133674171
0.75,-678.3333333333297
0.76,-641.0592797783888
0.77,-604.9725417439665
0.78,-570.0126232741575
0.79,-536.1228328793449
0.8,-503.2499999999963
0.81,-471.3442158207591
0.82,-440.35859607376227
0.83,-410.2490637247749
0.84,-380.97414965986053
0.85,-352.49480968858126
0.86,-324.7742563547832
0.87,-297.7778042013773
0.88,-271.4727272727244
0.89,-245.8281277616437
0.9,-220.814814814812
0.91,-196.4051926095855
0.92,-172.5731568998084
0.93,-149.29399930627568
0.94,-126.54431869751129
0.95,-104.30193905816941
0.96,-82.5458333333312
0.97,-61.256052715482994
0.98,-40.41366097519367
0.99,-20.000673400671523
1.0,1.7100395173959746e-12
1.01,19.604607391431248
1.02,38.82860438293118
1.03,57.68669997172345
1.04,76.19289940828527
1.05,94.36054421768812
1.06,112.20234959060275
1.07,129.73043933968128
1.08,146.95637860082417
1.09,163.89120444407013
1.1,180.54545454545547
1.11,196.92919405892457
1.12,213.0520408163272
1.13,228.9231889732952
1.14,244.55143120960335
1.15,259.94517958412155
1.16,275.1124851367413
1.17,290.06105632259494
1.18,304.798276357369
1.19,319.33121954664244
1.2,333.6666666666666
1.21,347.8111194590535
1.22,361.770814297232
1.23,375.55173507832643
1.24,389.15962539021837
1.25,402.5999999999964
1.26,415.87815570672694
1.27,428.999181598363
1.28,441.9679687499907
1.29,454.78921939787244
1.3,467.46745562130127
1.31,480.0070275624957
1.32,492.4121212121208
1.33,504.6867657866465
1.34,516.8348407217637
1.35,528.8600823045259
1.36,540.766089965397
1.37,552.5563322499858
1.38,564.234152488972
1.39,575.8027741835298
1.4,587.265306122448
1.41,598.624747246113
1.42,609.8839912715719
1.43,621.0458310919839
1.44,632.1129629629619
1.45,643.0879904875135
1.46,653.9734284105823
1.47,664.771706233454
1.48,675.4851716581433
1.49,686.1160938696441
1.5,696.6666666666652
1.51,707.1390114468647
1.52,717.5351800554001
1.53,727.8571575035228
1.54,738.1068645640057
1.55,748.2861602497378
1.56,758.3968441814579
1.57,768.4406588502557
1.58,778.4192917801616
1.59,788.3343775958209
1.6,798.1874999999983
1.61,807.980193665366
1.62,817.7139460448082
1.63,827.390199104217
1.64,837.0103509815561
1.65,846.5757575757553
1.66,856.0877340687778
1.67,865.5475563842351
1.68,874.9564625790351
