Stretch Ratio (-),Stress (Pa)
0.6,
5.0,
,-22271066.73813963
,-14659623.799865583
,-9715337.716425966
,-6481144.967385079
,-4351252.431107285
,-2939406.6314150114
,-1997588.2442528356
,-1365447.3237256818
,-938624.3685235099
,-648761.5181495528
,-450802.44659836503
,-314868.91677206097
,-221030.7814538575
,-155917.46623572445
,-110509.01638545273
,-78687.46717167708
,-56281.29982929529
,-40431.57503336309
,-29169.135001001523
,-21131.07778316255
,-15369.632962014033
,-11222.669091601072
,-8225.5232643197
,-6050.676235136306
,-4466.284471798137
,-3307.543413507625
,-2456.823011032009
,-1829.827891752943
,-1365.9137300181337
,-1021.2833831864763
,-764.1868603378565
,-571.5214646180059
,-426.4142702798418
,-316.49654008805203
,-232.6674288974462
,-168.20498905387655
,-118.12461241852087
,-78.71440089448073
,-47.197498803513355
,-21.485848244070883
,0.0
,18.463190523635095
,34.82804243051593
,49.81212207909166
,63.97972424985011
,77.7817085808209
,91.58529361625199
,105.69643996028454
,120.37675076888264
,135.85630681635482
,152.34348094929874
,170.03250450637023
,189.10935870511446
,209.75641726928188
,232.15615839690622
,256.49418420393084
,282.9617265079827
,311.75777377433116
,343.09092123685355
,377.18102170837363
,414.26069625991397
,454.57675019779913
,498.39152943465933
,545.9842445719228
,597.6522841478028
,653.7125340793169
,714.5027169845788
,780.3827625472924
,851.736218180088
,928.9717078083243
,1012.5244455172398
,1102.857810001089
,1200.4649851556464
,1305.8706717192483
,1419.6328745544758
,1542.3447699444955
,1674.6366571338292
,1817.1779982572168
,1970.679550758264
,2135.895596393545
,2313.62627094039
,2504.7199987703525
,2710.076036513546
,2930.6471301165357
,3167.442289685313
,3421.52968660545
,3694.0396775396966
,3986.1679600182215
,4299.178864460549
,4634.408787595091
,4993.269772375512
,5377.253239633058
,5787.933876842794
,6226.973689535274
,6696.126221027435
,7197.240946310267
,7732.267846082404
,8303.262167089151
,8912.389375081537
,9561.930306897313
,10254.28652831505
,10991.985904543559
,11777.688390353545
,12614.192047070715
,13504.43929382799
,14451.523400672064
,15458.695231298609
,16529.370243427853
,17667.135754989507
,18875.758484540384
,20159.192374514445
,21521.58670613948
,22967.29451508494
,24500.88131709528
,26127.13415313305
