Stretch Ratio (-),Stress (Pa)
0.6,
5.0,
0.6,-22271066.73813963
0.61,-14659623.799865583
0.62,-9715337.716425966
0.63,-6481144.967385079
0.64,-4351252.431107285
0.65,-2939406.6314150114
0.66,-1997588.2442528356
0.67,-1365447.3237256818
0.68,-938624.3685235099
0.69,-648761.5181495528
0.7,-450802.44659836503
0.71,-314868.91677206097
0.72,-221030.7814538575
0.73,-155917.46623572445
0.74,-110509.01638545273
0.75,-78687.46717167708
0.76,-56281.29982929529
0.77,-40431.57503336309
0.78,-29169.135001001523
0.79,-21131.07778316255
0.8,-15369.632962014033
0.81,-11222.669091601072
0.82,-8225.5232643197
0.83,-6050.676235136306
0.84,-4466.284471798137
0.85,-3307.543413507625
0.86,-2456.823011032009
0.87,-1829.827891752943
0.88,-1365.9137300181337
0.89,-1021.2833831864763
0.9,-764.1868603378565
0.91,-571.5214646180059
0.92,-426.4142702798418
0.93,-316.49654008805203
0.94,-232.6674288974462
0.95,-168.20498905387655
0.96,-118.12461241852087
0.97,-78.71440089448073
0.98,-47.197498803513355
0.99,-21.485848244070883
1.0,0.0
1.01,18.463190523635095
1.02,34.82804243051593
1.03,49.81212207909166
1.04,63.97972424985011
1.05,77.7817085808209
1.06,91.58529361625199
1.07,105.69643996028454
1.08,120.37675076888264
1.09,135.85630681635482
1.1,152.34348094929874
1.11,170.03250450637023
1.12,189.10935870511446
1.13,209.75641726928188
1.14,232.15615839690622
1.15,256.49418420393084
1.16,282.9617265079827
1.17,311.75777377433116
1.18,343.09092123685355
1.19,377.18102170837363
1.2,414.26069625991397
1.21,454.57675019779913
1.22,498.39152943465933
1.23,545.9842445719228
1.24,597.6522841478028
1.25,653.7125340793169
1.26,714.5027169845788
1.27,780.3827625472924
1.28,851.736218180088
1.29,928.9717078083243
1.3,1012.5244455172398
1.31,1102.857810001089
1.32,1200.4649851556464
1.33,1305.8706717192483
1.34,1419.6328745544758
1.35,1542.3447699444955
1.36,1674.6366571338292
1.37,1817.1779982572168
1.38,1970.679550758264
1.39,2135.895596393545
1.4,2313.62627094039
1.41,2504.7199987703525
1.42,2710.076036513546
1.43,2930.6471301165357
1.44,3167.442289685313
1.45,3421.52968660545
