Stretch Ratio (-),Stress (Pa)
0.85,
5.0,
0.85,-448.7627588820095
0.86,-413.1437118825698
0.87,-378.5093849144332
0.88,-344.8142924193642
0.89,-312.01529172664567
0.9,-280.07144189061296
0.91,-248.94387355380888
0.92,-218.5956688225994
0.93,-188.9917502124622
0.94,-160.0987777983787
0.95,-131.88505378625524
0.96,-104.32043380038195
0.97,-77.3762442571517
0.98,-51.0252052650891
0.99,-25.241358554853655
1.0,-9.947598300641403e-14
1.01,24.72238366005458
1.02,48.94817423884898
1.03,72.69867796862899
1.04,95.99417808444696
1.05,118.8539843688928
1.06,141.29647987462533
1.07,163.33916502024132
1.08,184.99869923639451
1.09,206.2909403229969
1.1,227.23098166442614
1.11,247.83318743756618
1.12,268.1112259369444
1.13,288.0781011319472
1.14,307.7461825628684
1.15,327.1272336752263
1.16,346.23243868521024
1.17,365.0724280631665
1.18,383.65730271662363
1.19,401.9966569493966
1.2,420.09960026873955
1.21,437.97477810828445
1.22,455.6303915305618
1.23,473.07421596922956
1.24,490.3136190676838
1.25,507.35557766749923
1.26,524.2066939970917
1.27,540.8732111081358
1.28,557.3610276045463
1.29,573.6757117062768
1.3,589.8225146877456
1.31,605.8063837284076
1.32,621.6319742107812
1.33,637.3036614991726
1.34,652.8255522303318
1.35,668.2014951453856
1.36,683.4350914905699
1.37,698.5297050125248
1.38,713.4884715722455
1.39,728.3143084001343
1.4,743.0099230130305
1.41,757.577821812544
1.42,772.0203183825112
1.43,786.3395415019095
1.44,800.5374428880953
1.45,814.615804683777
1.46,828.5762466996784
1.47,842.4202334233964
1.48,856.1490808034771
1.49,869.7639628162669
1.5,883.265917821567
1.51,896.6558547115943
1.52,909.9345588561653
1.53,923.1026978454082
1.54,936.1608270296387
1.55,949.1093948543038
1.56,961.9487479861444
1.57,974.6791362248492
1.58,987.3007171925979
1.59,999.8135607918853
1.6,1012.2176534199841
1.61,1024.5129019262683
1.62,1036.699137296432
1.63,1048.7761180453683
1.64,1060.7435332981522
1.65,1072.6010055361926
1.66,1084.3480929832183
1.67,1095.9842916033492
1.68,1107.5090366811169
1.69,1118.9217039510293
1.7,1130.2216102421198
1.71,1141.4080136010841
1.72,1152.4801128561523
1.73,1163.4370465830327
1.74,1174.2778914343262
1.75,1185.0016597951437
1.76,1195.6072967308037
1.77,1206.093676198053
1.78,1216.4595965002568
1.79,1226.7037749806289
1.8,1236.8248419675022
1.81,1246.8213340140549
1.82,1256.6916865147123
1.83,1266.4342258354004
1.84,1276.0471611698001
1.85,1285.5285764349287
1.86,1294.8764226544845
1.87,1304.088511456826
1.88,1313.1625105471428
1.89,1322.0959423124389
1.9,1330.8861870951948
1.91,1339.5304931363332
1.92,1348.025995742271
1.93,1356.3697488615746
1.94,1364.5587729244785
1.95,1372.59012342006
1.96,1380.4609851125902
1.97,1388.16879679251
1.98,1395.7114106745332
1.99,1403.0872885519736
2.0,1410.2957331095988
2.01,1417.33714701212
2.02,1424.213304516856
2.03,1430.9276111258325
2.04,1437.485317962267
2.05,1443.8936519935542
2.06,1450.1618243448295
2.07,1456.3008894327793
2.08,1462.3234477162753
2.09,1468.2432110304117
2.1,1474.0744749390267
2.11,1479.8315595581992
2.12,1485.5282835756307
2.13,1491.1775253194894
2.14,1496.7909041629205
2.15,1502.3785921977037
2.16,1507.9492462481332
2.17,1513.5100374973622
2.18,1519.066750791222
2.19,1524.623926483976
2.2,1530.1850221044563
2.21,1535.7525769502668
2.22,1541.3283684287608
2.23,1546.9135537377733
2.24,1552.5087940451504
2.25,1558.1143607416104
2.26,1563.7302248148346
2.27,1569.356131167242
2.28,1574.9916599945277
2.29,1580.6362773287615
2.3,1586.2893766532927
2.31,1591.950313202336
2.32,1597.6184322239103
2.33,1603.2930921510774
2.34,1608.973683324165
2.35,1614.6596426606138
2.36,1620.3504644993236
2.37,1626.0457077650447
2.38,1631.7449996065432
2.39,1637.4480357469574
2.4,1643.1545779189803
2.41,1648.8644489049161
2.42,1654.5775258243727
2.43,1660.2937323797237
2.44,1666.0130307656132
2.45,1671.7354138744797
2.46,1677.4608983009311
2.47,1683.1895184877962
2.48,1688.9213221912016
2.49,1694.656367292372
2.5,1700.3947198633148
2.51,1706.1364533080252
2.52,1711.8816483492483
2.53,1717.630393608444
2.54,1723.3827865267144
2.55,1729.1389343907254
2.56,1734.898955254468
2.57,1740.662978581481
2.58,1746.4311454698138
2.59,1752.2036083622372
2.6,1757.9805301855804
2.61,1763.7620829042983
2.62,1769.5484455133837
2.63,1775.3398015325997
2.64,1781.1363360959892
2.65,1786.9382327559404
2.66,1792.7456701379115
2.67,1798.558818589514
2.68,1804.3778369653821
2.69,1810.2028696778295
2.7,1816.0340441240542
2.71,1821.87146857549
2.72,1827.7152305862824
2.73,1833.5653959484114
2.74,1839.422008192741
2.75,1845.285088610487
2.76,1851.1546367493618
2.77,1857.0306313238325
2.78,1862.913031469569
2.79,1868.8017782680834
2.8,1874.6967964678458
2.81,1880.5979963321213
2.82,1886.5052755503225
2.83,1892.4185211578736
2.84,1898.3376114186299
2.85,1904.26241763311
2.86,1910.1928058445733
2.87,1916.1286384230866
2.88,1922.069775514785
2.89,1928.0160763495949
2.9,1933.9674004055923
2.91,1939.9236084321633
2.92,1945.8845633369826
2.93,1951.8501309441122
2.94,1957.8201806318518
2.95,1963.7945858599044
2.96,1969.7732245958262
2.97,1975.755979650737
2.98,1981.742738934074
2.99,1987.7333956367704
3.0,1993.7278483516523
3.01,1999.726001139251
3.02,2005.7277635465437
3.03,2011.7330505854534
3.04,2017.7417826772664
3.05,2023.7538855684788
3.06,2029.7692902229414
3.07,2035.7879326946481
3.08,2041.8097539849282
3.09,2047.8346998873699
3.1,2053.862720823315
3.11,2059.8937716704413
3.12,2065.9278115865063
3.13,2071.9648038301134
3.14,2078.00471558003
3.15,2084.0475177543167
3.16,2090.093184830419
3.17,2096.141694667089
3.18,2102.193028328872
3.19,2108.2471699138046
3.2,2114.3041063847572
3.21,2120.363827404859
3.22,2126.426325177263
3.23,2132.4915942894777
3.24,2138.5596315624493
3.25,2144.630435904475
3.26,2150.7040081699997
3.27,2156.780351023355
3.28,2162.8594688073827
3.29,2168.9413674169514
3.3,2175.0260541772905
3.31,2181.1135377270534
3.32,2187.203827906067
3.33,2193.296935647634
3.34,2199.392872875299
3.35,2205.491652403974
3.36,2211.5932878453095
3.37,2217.6977935171926
3.38,2223.8051843572684
3.39,2229.9154758403697
3.4,2236.0286838997386
3.41,2242.1448248519473
3.42,2248.263915325405
3.43,2254.385972192357
3.44,2260.5110125042797
3.45,2266.639053430615
3.46,2272.770112200698
3.47,2278.9042060489023
3.48,2285.041352162871
3.49,2291.1815676347987
3.5,2297.324869415742
3.51,2303.4712742729184
3.52,2309.62079874998
3.53,2315.7734591302656
3.54,2321.929271403042
3.55,2328.0882512327908
3.56,2334.2504139315533
3.57,2340.415774434501
3.58,2346.5843472787574
3.59,2352.756146585659
3.6,2358.9311860466664
3.61,2365.109478913115
3.62,2371.291037990135
3.63,2377.475875635082
3.64,2383.6640037609404
3.65,2389.8554338452363
3.66,2396.0501769451466
3.67,2402.248243719621
3.68,2408.449644459564
3.69,2414.6543891273536
3.7,2420.8624874072784
3.71,2427.0739487689248
3.72,2433.288782546039
3.73,2439.506998034116
3.74,2445.7286046108748
3.75,2451.953611885078
3.76,2458.18202988077
3.77,2464.4138692664387
3.78,2470.649141641857
3.79,2476.887859900037
3.8,2483.130038688413
3.81,2489.3756950035554
3.82,2495.6248489684654
3.83,2501.87752486505
3.84,2508.133752531121
3.85,2514.3935692918994
3.86,2520.6570226987656
3.87,2526.924174530122
3.88,2533.1951068476924
3.89,2539.4699315691905
3.9,2545.7488064321938
3.91,2552.031963500296
3.92,2558.319764890948
3.93,2564.6128264289723
3.94,2570.912350369712
3.95,2577.2213898266523
3.96,2583.560109131014
