Stretch Ratio (-),Stress (Pa)
0.0,
0.5,
0.0,0.0
0.002,1.0832566375241293
0.004,2.1704967403523905
0.006,3.2621300556997213
0.008,4.358573198848946
0.01,5.460249886283613
0.012,6.567591143369165
0.014,7.68103551454573
0.016,8.801029272393443
0.018,9.928026625827039
0.02,11.062489927782202
0.022,12.20488988265791
0.024,13.355705753841715
0.026,14.515425571570466
0.028,15.684546341410186
0.03,16.863574253615912
0.032,18.053024893537465
0.034,19.253423453343544
0.036,20.465304945165133
0.038,21.689214415844575
0.04,22.925707163411165
0.042,24.175348955325983
0.044,25.438716248651133
0.046,26.71639641212528
0.048,28.008987950222476
0.05,29.317100729200714
0.052,30.641356205182674
0.054,31.982387654267455
0.056,33.340840404670026
0.058,34.717372070958966
0.06,36.112652790376785
0.062,37.527365461314695
0.064,38.962205983967415
0.066,40.417883503293226
0.068,41.895120654346115
0.07,43.39465381011164
0.072,44.917233331998005
0.074,46.463623823161974
0.076,48.03460438488201
0.078,49.6309688761635
0.08,51.25352617690695
0.082,52.90310045483285
0.084,54.58053143652633
0.086,56.2866746829108
0.088,58.022401869432734
0.09,59.788601071448404
0.092,61.58617705500919
0.094,63.41605157356266
0.096,65.279163670914
0.098,67.1764699908016
0.1,69.10894509356616
0.102,71.07758178023741
0.104,73.08339142450816
0.106,75.12740431290523
0.108,77.21066999367038
0.11,79.33425763460892
0.112,81.49925639039182
0.114,83.7067757796244
0.116,85.95794607206422
0.118,88.25391868635651
0.12,90.59586659858623
0.122,92.98498476201365
0.124,95.42249053832471
0.126,97.90962414065531
0.128,100.44764908870681
0.13,103.03785267623975
0.132,105.68154645120555
0.134,108.380066708728
0.136,111.13477499724809
0.138,113.94705863797154
0.14,116.81833125789764
0.142,119.75003333653993
0.144,122.74363276663645
0.146,125.80062542887379
0.148,128.92253578091132
0.15,132.1109174607724
0.152,135.36735390473928
0.154,138.69345897993267
0.156,142.09087763159502
0.158,145.56128654530278
0.16,149.10639482408806
0.162,152.72794468065126
0.164,156.42771214474814
0.166,160.20750778578144
0.168,164.06917745076908
0.17,168.0146030176833
0.172,172.04570316437145
0.174,176.16443415299648
0.176,180.37279063028402
0.178,184.6728064434253
0.18,189.06655547198665
0.182,193.5561524757876
0.184,198.1437539588643
0.186,202.8315590497012
0.188,207.62181039782402
0.19,212.51679508685254
0.192,217.51884556423644
0.194,222.6303405876995
0.196,227.85370618870056
0.198,233.191416652909
0.2,238.6459955180397
0.202,244.22001658903403
0.204,249.91610497096426
0.206,255.73693811970531
0.208,261.6852469105615
0.21,267.7638167254018
0.212,273.97548855778075
0.214,280.32316013717997
0.216,286.8097870718607
0.218,293.4383840108325
0.22,300.21202582538285
0.222,307.1338488099453
0.224,314.2070519030168
0.226,321.43489792799596
0.228,328.8207148544777
0.23,336.36789708014004
0.232,344.07990673343414
0.234,351.9602749974216
0.236,360.0126034550659
0.238,368.240565456088
0.24,376.64790750585274
0.242,385.23845067634494
0.244,394.0160920397377
0.246,402.9848061246452
0.248,412.14864639541406
0.25,421.51174675472174
0.252,431.0783230697293
0.254,440.85267472212934
0.256,450.8391861822858
0.258,461.0423286077018
0.26,471.46666146634965
0.262,482.11683418465134
0.264,492.99758782094597
0.266,504.11375676424177
0.268,515.4702704586564
0.27,527.0721551541282
0.272,538.9245356829772
0.274,551.0326372632745
0.276,563.4017873287271
0.278,576.0374173857897
0.28,588.9450648976681
0.282,602.1303751960787
0.284,615.599103420578
0.286,629.3571164857503
0.288,643.41039507653
0.29,657.7650356718444
0.292,672.4272525969928
0.294,687.4033801042998
0.296,702.699874483164
0.298,718.3233161988622
