Stretch Ratio (-),Stress (Pa)
0.85,
5.0,
0.85,-11640.21724077865
0.86,-7754.0270015063925
0.87,-5208.572518982694
0.88,-3527.464438044095
0.89,-2407.8164857763113
0.9,-1655.569269439707
0.91,-1145.4312860527482
0.92,-795.9136092789369
0.93,-553.6696022712352
0.94,-383.60325270319316
0.95,-262.5651250456976
0.96,-175.24474376263373
0.97,-111.39409275250836
0.98,-63.97490575766399
0.99,-28.02536274274387
1.0,0.0
1.01,22.640135604984295
1.02,41.701264864712414
1.03,58.439534593603184
1.04,73.67773858039298
1.05,87.87144894981013
1.06,101.13832390903869
1.07,113.29418278114576
1.08,123.9531856576386
1.09,132.63067954758063
1.1,138.69785860220975
1.11,141.2205251323345
1.12,138.8110475345767
1.13,129.50432875533156
1.14,110.61141910389449
1.15,78.51978871360055
1.16,28.421402363889843
1.17,-46.05133909030673
1.18,-153.30877385750412
1.19,-304.4433789102363
1.2,-514.0758084699322
1.21,-801.4756436718815
1.22,-1192.0486566143713
1.23,-1719.3145308640292
1.24,-2427.5427145221634
1.25,-3375.2738062410076
1.26,-4640.035688415516
1.27,-6324.676026316193
1.28,-8565.887636065117
1.29,-11545.717267486296
1.3,-15507.145021614804
1.31,-20775.234058120554
1.32,-27785.92535663766
1.33,-37125.35671021203
1.34,-49583.71379625769
1.35,-66229.20982826402
1.36,-88510.03363715515
1.37,-118395.28428495301
1.38,-158570.4281897341
1.39,-212709.25884673506
1.4,-285853.56292759493
1.41,-384944.945946432
1.42,-519572.37250485
1.43,-703026.6189885441
1.44,-953792.9943026045
1.45,-1297672.2558944668
1.46,-1770805.431538895
1.47,-2424004.436797507
1.48,-3328976.816974393
1.49,-4587309.737332206
1.5,-6343491.3874794375
1.51,-8803867.733751439
1.52,-12264368.192018956
1.53,-17151256.028313097
1.54,-24081338.522752266
1.55,-33951443.354324505
1.56,-48072246.9751098
1.57,-68369940.30548474
1.58,-97692876.89784677
1.59,-140283265.4379492
1.6,-202514156.41502053
1.61,-294066736.29791987
1.62,-429870591.72445625
1.63,-633417361.329485
1.64,-942424505.6545572
1.65,-1417299175.2933204
1.66,-2151458502.561607
1.67,-3287968113.5519934
1.68,-5051344187.317976
1.69,-7798898114.041424
1.7,-12102591973.228516
1.71,-18883309892.265995
1.72,-29633509208.165554
1.73,-46789139912.381
1.74,-74355677904.31635
1.75,-118970439058.72523
1.76,-191720443167.95932
1.77,-311280451541.7934
1.78,-509379103138.8229
1.79,-840409941397.4319
1.8,-1398495139189.3604
1.81,-2348087300665.476
1.82,-3979425792598.0176
1.83,-6810127981155.732
1.84,-11773398593780.963
1.85,-20570802130175.062
1.86,-36341554715754.29
1.87,-64948446122036.484
1.88,-117481152536204.27
1.89,-215196543772181.94
1.9,-399408384726817.94
1.91,-751581562020102.9
1.92,-1434799301163582.8
1.93,-2780737360385997.5
1.94,-5475211976112180.0
1.95,-1.096113293443135e+16
1.96,-2.2330091776157024e+16
1.97,-4.633420453646393e+16
1.98,-9.802041632136115e+16
1.99,-2.1164020988719965e+17
2.0,-4.669279121253557e+17
2.01,-1.0539492078302559e+18
2.02,-2.437286544317148e+18
2.03,-5.783180232148369e+18
2.04,-1.410331570116351e+19
2.05,-3.5413200377774952e+19
2.06,-9.17441022498231e+19
2.07,-2.4577443607453916e+20
2.08,-6.825416772118353e+20
2.09,-1.9704864115737279e+21
2.1,-5.932508303741137e+21
2.11,-1.8692599155396543e+22
2.12,-6.189021910862561e+22
2.13,-2.1632065059089268e+23
2.14,-8.024118047946841e+23
2.15,-3.178180576344524e+24
2.16,-1.3537479203244905e+25
2.17,-6.25331057720985e+25
2.18,-3.163747533591159e+26
2.19,-1.7740583993022318e+27
2.2,-1.1185341061227247e+28
2.21,-8.070520643732047e+28
2.22,-6.811747702711977e+29
2.23,-6.915149681115877e+30
2.24,-8.753017778820049e+31
2.25,-1.448908903309441e+33
2.26,-3.347597083410801e+34
2.27,-1.1838334831153292e+36
2.28,-7.347710429716106e+37
2.29,-9.933236848003215e+39
2.3,-4.2374617310744095e+42
2.31,-1.1735324323416875e+46
2.32,-1.1887341091068098e+51
2.33,-2.804698850598786e+60
2.34,2.115665710299233e+72
2.35,-6.347457169165421e+56
2.36,2.839125830045593e+100
2.37,2.7731916102732383e+56
2.38,8.892965647339235e+48
2.39,3.5446293104134563e+44
2.4,2.677254350553219e+41
2.41,1.0198794952569606e+39
2.42,1.0844353762696368e+37
2.43,2.3469417767052252e+35
2.44,8.541566614248596e+33
2.45,2.4911753466607886e+32
2.46,-2.5925443562638393e+33
2.47,-4.090440724772056e+34
2.48,-8.680341905697053e+35
2.49,-2.717006523365146e+37
2.5,-1.4093598380211458e+39
2.51,-1.4506637964304226e+41
2.52,-3.997087675797794e+43
2.53,-5.124488327320658e+46
2.54,-1.0235519671473685e+51
2.55,-1.2072153051859299e+58
2.56,-6.97425151042155e+82
2.57,6.135157379782984e+60
2.58,-7.835032139756467e+52
2.59,-2.4064044480275958e+60
2.6,-1.1752488112167028e+92
2.61,5.68697133664524e+61
2.62,-4.4245099406157575e+56
2.63,-8.868519482947596e+70
2.64,2.4301319758191098e+65
2.65,1.9380177730846907e+89
2.66,-7.39671594484228e+64
2.67,2.652372379586611e+64
2.68,3.281321951462656e+52
2.69,8.861485377261028e+46
2.7,-3.1741307313641676e+43
2.71,-5.33022823635838e+46
2.72,-7.751696435092375e+50
2.73,-4.445537630415746e+57
2.74,-2.101206571024872e+78
2.75,4.735080904135738e+61
2.76,8.495737063226978e+52
2.77,1.3548111695301888e+48
2.78,6.473307980423113e+44
2.79,2.288758664686882e+40
2.8,-1.8996933781441047e+44
2.81,-5.499281730078729e+46
2.82,-8.068887741494294e+49
2.83,-2.2639682639581864e+54
2.84,-8.179804251937025e+61
2.85,-7.529338927729631e+108
2.86,-1.2938671289845066e+65
2.87,8.064406578201803e+82
2.88,3.1099295406728406e+61
2.89,5.162069615165551e+54
2.9,3.6950302014468326e+50
2.91,3.7778935419033074e+47
2.92,1.7330695252572976e+45
2.93,2.0884526158874965e+43
2.94,4.937357585832742e+41
2.95,1.918771739702984e+40
2.96,1.0922945415865211e+39
2.97,8.413489992323924e+37
2.98,8.283023022238422e+36
2.99,9.991056629864065e+35
3.0,1.4296661006057702e+35
3.01,2.3666168225316063e+34
3.02,4.44220085824322e+33
3.03,9.302875602026176e+32
3.04,2.1449723779662412e+32
3.05,5.385504496814098e+31
3.06,1.4588618444062352e+31
3.07,4.2303820732729127e+30
3.08,1.3043986476497794e+30
3.09,4.252026434521034e+29
3.1,1.45799755420373e+29
3.11,5.235859103907797e+28
3.12,1.9616185466491399e+28
3.13,7.641098592081937e+27
3.14,3.085287732427855e+27
3.15,1.2878313589901895e+27
3.16,5.543597126122645e+26
3.17,2.4555238616034358e+26
3.18,1.1170119410942056e+26
3.19,5.208986036929186e+25
3.2,2.4861094869753846e+25
3.21,1.2125786747561619e+25
3.22,6.035687610425528e+24
3.23,3.062117951786348e+24
3.24,1.5815579635815783e+24
3.25,8.306731799894782e+23
3.26,4.431566035854908e+23
3.27,2.3979013704073296e+23
3.28,1.3124028021876665e+23
3.29,7.211917994828885e+22
3.3,3.88074347900839e+22
3.31,1.8440354658108261e+22
3.32,3.0905036325037455e+21
3.33,-1.3926343208292336e+22
3.34,-4.169076088766921e+22
3.35,-9.772434954486903e+22
3.36,-2.2131780522791068e+23
3.37,-5.061002941385131e+23
3.38,-1.1833668433507527e+24
3.39,-2.84255127429354e+24
3.4,-7.033800383482131e+24
3.41,-1.7971730520256527e+25
3.42,-4.753040950529795e+25
3.43,-1.3046796166133442e+26
3.44,-3.728158340157474e+26
3.45,-1.1127994554530233e+27
3.46,-3.4829125187943003e+27
3.47,-1.1480907242626935e+28
3.48,-4.005917585386639e+28
3.49,-1.4881281691835597e+29
3.5,-5.9254303754189975e+29
3.51,-2.54900291777501e+30
3.52,-1.1957561914570592e+31
3.53,-6.185407388271072e+31
3.54,-3.575798454805336e+32
3.55,-2.348383732960094e+33
3.56,-1.7879860473453616e+34
3.57,-1.6190006840140595e+35
3.58,-1.801567443549681e+36
3.59,-2.571968351111428e+37
3.6,-4.9925679295421766e+38
3.61,-1.4290880502593876e+40
3.62,-6.789075471404092e+41
3.63,-6.421571174136799e+43
3.64,-1.635974391154745e+46
3.65,-1.9625261450280091e+49
3.66,-3.7730681978516283e+53
3.67,-4.750581137502719e+60
3.68,-5.35298798204041e+86
3.69,9.347609594601357e+62
3.7,5.632273505335885e+54
3.71,1.2838015475127758e+50
3.72,7.253058579316866e+46
3.73,2.296703522827039e+44
3.74,2.137046266828829e+42
3.75,4.1612354233832367e+40
3.76,1.387309736286226e+39
3.77,6.963606113730193e+37
3.78,4.8225656407461526e+36
3.79,4.3307410635944496e+35
3.8,4.817885706275667e+34
3.81,6.414183913890942e+33
3.82,9.94872779387292e+32
3.83,1.7600174418578698e+32
3.84,3.491164506203846e+31
3.85,7.657150602450727e+30
3.86,1.835664129286627e+30
3.87,4.763786900074804e+29
3.88,1.327387450477973e+29
3.89,3.9437050874297267e+28
3.9,1.2418573713501574e+28
