Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 0.660 -24.300 2.189 3.434 0.029 1.884
10.000 0.660 -24.300 2.189 3.434 0.029 1.884
10.000 0.660 -24.300 2.189 3.434 0.029 1.884
10.000 0.660 -24.300 2.189 3.434 0.029 1.884
9.623 0.100 -24.189 0.206 0.018 1.890 0.705
9.623 0.100 -24.189 0.206 0.018 1.890 0.705
9.623 0.100 -24.189 0.206 0.018 1.890 0.705
9.623 0.100 -24.189 0.206 0.018 1.890 0.705
9.744 0.297 -24.225 0.097 0.706 0.893 0.565
9.744 0.297 -24.225 0.097 0.706 0.893 0.565
9.744 0.297 -24.225 0.097 0.706 0.893 0.565
9.744 0.297 -24.225 0.097 0.706 0.893 0.565
9.707 0.245 -24.215 0.016 0.447 1.119 0.527
9.707 0.245 -24.215 0.016 0.447 1.119 0.527
9.707 0.245 -24.215 0.016 0.447 1.119 0.527
9.707 0.245 -24.215 0.016 0.447 1.119 0.527
9.688 0.228 -24.212 0.004 0.373 1.197 0.525
9.688 0.228 -24.212 0.004 0.373 1.197 0.525
9.688 0.228 -24.212 0.004 0.373 1.197 0.525
9.688 0.228 -24.212 0.004 0.373 1.197 0.525
9.681 0.228 -24.213 0.004 0.371 1.197 0.524
9.681 0.228 -24.213 0.004 0.371 1.197 0.524
9.681 0.228 -24.213 0.004 0.371 1.197 0.524
9.681 0.228 -24.213 0.004 0.371 1.197 0.524
9.654 0.228 -24.213 0.004 0.365 1.198 0.522
9.654 0.228 -24.213 0.004 0.365 1.198 0.522
9.654 0.228 -24.213 0.004 0.365 1.198 0.522
9.654 0.228 -24.213 0.004 0.365 1.198 0.522
9.546 0.227 -24.216 0.003 0.341 1.202 0.515
9.546 0.227 -24.216 0.003 0.341 1.202 0.515
9.546 0.227 -24.216 0.003 0.341 1.202 0.515
9.546 0.227 -24.216 0.003 0.341 1.202 0.515
9.114 0.224 -24.225 0.001 0.253 1.218 0.491
9.114 0.224 -24.225 0.001 0.253 1.218 0.491
9.114 0.224 -24.225 0.001 0.253 1.218 0.491
9.114 0.224 -24.225 0.001 0.253 1.218 0.491
5.544 0.287 -24.320 0.024 0.016 0.945 0.328
5.544 0.287 -24.320 0.024 0.016 0.945 0.328
5.544 0.287 -24.320 0.024 0.016 0.945 0.328
5.544 0.287 -24.320 0.024 0.016 0.945 0.328
2.291 0.406 -24.420 0.079 0.242 0.562 0.294
2.291 0.406 -24.420 0.079 0.242 0.562 0.294
2.291 0.406 -24.420 0.079 0.242 0.562 0.294
2.291 0.406 -24.420 0.079 0.242 0.562 0.294
4.128 0.339 -24.364 0.031 0.036 0.753 0.273
4.128 0.339 -24.364 0.031 0.036 0.753 0.273
4.128 0.339 -24.364 0.031 0.036 0.753 0.273
4.128 0.339 -24.364 0.031 0.036 0.753 0.273
