Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 0.700 -18.700 1.129 3.660 0.145 1.645
10.000 0.700 -18.700 1.129 3.660 0.145 1.645
10.000 0.700 -18.700 1.129 3.660 0.145 1.645
10.000 0.700 -18.700 1.129 3.660 0.145 1.645
9.658 0.100 -18.652 0.353 0.020 2.006 0.793
9.658 0.100 -18.652 0.353 0.020 2.006 0.793
9.658 0.100 -18.652 0.353 0.020 2.006 0.793
9.658 0.100 -18.652 0.353 0.020 2.006 0.793
9.783 0.343 -18.670 0.029 0.929 0.978 0.645
9.783 0.343 -18.670 0.029 0.929 0.978 0.645
9.783 0.343 -18.670 0.029 0.929 0.978 0.645
9.783 0.343 -18.670 0.029 0.929 0.978 0.645
9.744 0.280 -18.665 0.008 0.594 1.206 0.602
9.744 0.280 -18.665 0.008 0.594 1.206 0.602
9.744 0.280 -18.665 0.008 0.594 1.206 0.602
9.744 0.280 -18.665 0.008 0.594 1.206 0.602
9.719 0.254 -18.665 0.017 0.468 1.309 0.598
9.719 0.254 -18.665 0.017 0.468 1.309 0.598
9.719 0.254 -18.665 0.017 0.468 1.309 0.598
9.719 0.254 -18.665 0.017 0.468 1.309 0.598
9.711 0.255 -18.666 0.017 0.470 1.306 0.597
9.711 0.255 -18.666 0.017 0.470 1.306 0.597
9.711 0.255 -18.666 0.017 0.470 1.306 0.597
9.711 0.255 -18.666 0.017 0.470 1.306 0.597
9.680 0.258 -18.670 0.016 0.475 1.294 0.595
9.680 0.258 -18.670 0.016 0.475 1.294 0.595
9.680 0.258 -18.670 0.016 0.475 1.294 0.595
9.680 0.258 -18.670 0.016 0.475 1.294 0.595
9.554 0.269 -18.687 0.012 0.495 1.250 0.585
9.554 0.269 -18.687 0.012 0.495 1.250 0.585
9.554 0.269 -18.687 0.012 0.495 1.250 0.585
9.554 0.269 -18.687 0.012 0.495 1.250 0.585
9.051 0.314 -18.754 0.006 0.565 1.079 0.550
9.051 0.314 -18.754 0.006 0.565 1.079 0.550
9.051 0.314 -18.754 0.006 0.565 1.079 0.550
9.051 0.314 -18.754 0.006 0.565 1.079 0.550
1.000 1.164 -20.323 0.415 0.336 0.103 0.285
1.000 1.164 -20.323 0.415 0.336 0.103 0.285
1.000 1.164 -20.323 0.415 0.336 0.103 0.285
1.000 1.164 -20.323 0.415 0.336 0.103 0.285
7.212 0.508 -19.113 0.116 0.801 0.485 0.467
7.212 0.508 -19.113 0.116 0.801 0.485 0.467
7.212 0.508 -19.113 0.116 0.801 0.485 0.467
7.212 0.508 -19.113 0.116 0.801 0.485 0.467
1.000 0.941 -19.997 0.076 0.382 0.032 0.163
1.000 0.941 -19.997 0.076 0.382 0.032 0.163
1.000 0.941 -19.997 0.076 0.382 0.032 0.163
1.000 0.941 -19.997 0.076 0.382 0.032 0.163
5.882 0.601 -19.302 0.169 0.645 0.289 0.368
5.882 0.601 -19.302 0.169 0.645 0.289 0.368
5.882 0.601 -19.302 0.169 0.645 0.289 0.368
5.882 0.601 -19.302 0.169 0.645 0.289 0.368
3.441 0.771 -19.650 0.204 0.214 0.076 0.165
3.441 0.771 -19.650 0.204 0.214 0.076 0.165
3.441 0.771 -19.650 0.204 0.214 0.076 0.165
3.441 0.771 -19.650 0.204 0.214 0.076 0.165
