Nu Mu Lambda TotalCost
0.490 1.150 56.350 1.414
0.490 1.150 56.350 1.414
0.490 1.150 56.350 1.414
0.400 0.001 0.004 1.761
0.400 0.001 0.004 1.761
0.400 0.001 0.004 1.761
0.449 0.633 5.630 0.397
0.449 0.633 5.630 0.397
0.449 0.633 5.630 0.397
0.456 0.629 6.461 0.397
0.456 0.629 6.461 0.397
0.456 0.629 6.461 0.397
0.480 0.613 15.001 0.395
0.480 0.613 15.001 0.395
0.480 0.613 15.001 0.395
0.495 0.612 60.577 0.394
0.495 0.612 60.577 0.394
0.495 0.612 60.577 0.394
0.495 0.615 60.864 0.394
0.495 0.615 60.864 0.394
0.495 0.615 60.864 0.394
0.495 0.616 60.961 0.394
0.495 0.616 60.961 0.394
0.495 0.616 60.961 0.394
