Nu Mu Alpha TotalCost
0.490 0.660 -24.300 0.005
0.490 0.660 -24.300 0.005
0.490 0.660 -24.300 0.005
0.490 0.660 -24.300 0.005
0.495 0.737 -24.300 0.018
0.495 0.737 -24.300 0.018
0.495 0.737 -24.300 0.018
0.495 0.737 -24.300 0.018
0.491 0.674 -24.300 0.005
0.491 0.674 -24.300 0.005
0.491 0.674 -24.300 0.005
0.491 0.674 -24.300 0.005
0.494 0.668 -24.300 0.004
0.494 0.668 -24.300 0.004
0.494 0.668 -24.300 0.004
0.494 0.668 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
