Nu Mu Lambda TotalCost
0.490 1.150 56.350 44.363
0.490 1.150 56.350 44.363
0.490 1.150 56.350 44.363
0.400 0.001 0.004 1.678
0.400 0.001 0.004 1.678
0.400 0.001 0.004 1.678
0.401 0.018 0.072 1.604
0.401 0.018 0.072 1.604
0.401 0.018 0.072 1.604
0.403 0.085 0.352 1.330
0.403 0.085 0.352 1.330
0.403 0.085 0.352 1.330
0.495 0.713 70.565 43.267
0.495 0.713 70.565 43.267
0.495 0.713 70.565 43.267
0.434 0.296 1.935 0.658
0.434 0.296 1.935 0.658
0.434 0.296 1.935 0.658
0.495 0.582 57.636 27.203
0.495 0.582 57.636 27.203
0.495 0.582 57.636 27.203
0.453 0.388 3.778 0.550
0.453 0.388 3.778 0.550
0.453 0.388 3.778 0.550
0.447 0.378 3.156 0.545
0.447 0.378 3.156 0.545
0.447 0.378 3.156 0.545
0.446 0.388 3.187 0.541
0.446 0.388 3.187 0.541
0.446 0.388 3.187 0.541
0.433 0.460 2.996 0.520
0.433 0.460 2.996 0.520
0.433 0.460 2.996 0.520
0.415 0.536 2.610 0.506
0.415 0.536 2.610 0.506
0.415 0.536 2.610 0.506
0.400 0.591 2.364 0.501
0.400 0.591 2.364 0.501
0.400 0.591 2.364 0.501
0.400 0.572 2.287 0.494
0.400 0.572 2.287 0.494
0.400 0.572 2.287 0.494
0.400 0.536 2.143 0.488
0.400 0.536 2.143 0.488
0.400 0.536 2.143 0.488
