Nu Mu Lambda TotalCost
0.490 1.150 56.350 98.426
0.490 1.150 56.350 98.426
0.490 1.150 56.350 98.426
0.400 0.001 0.004 1.677
0.400 0.001 0.004 1.677
0.400 0.001 0.004 1.677
0.400 0.010 0.042 1.628
0.400 0.010 0.042 1.628
0.400 0.010 0.042 1.628
0.402 0.048 0.198 1.440
0.402 0.048 0.198 1.440
0.402 0.048 0.198 1.440
0.406 0.200 0.870 0.848
0.406 0.200 0.870 0.848
0.406 0.200 0.870 0.848
0.474 0.544 9.802 3.789
0.474 0.544 9.802 3.789
0.474 0.544 9.802 3.789
0.429 0.317 1.928 0.553
0.429 0.317 1.928 0.553
0.429 0.317 1.928 0.553
0.441 0.371 2.780 0.562
0.441 0.371 2.780 0.562
0.441 0.371 2.780 0.562
0.435 0.342 2.277 0.538
0.435 0.342 2.277 0.538
0.435 0.342 2.277 0.538
0.433 0.349 2.246 0.535
0.433 0.349 2.246 0.535
0.433 0.349 2.246 0.535
0.425 0.378 2.137 0.522
0.425 0.378 2.137 0.522
0.425 0.378 2.137 0.522
0.400 0.677 2.709 0.772
0.400 0.677 2.709 0.772
0.400 0.677 2.709 0.772
0.423 0.404 2.210 0.519
0.423 0.404 2.210 0.519
0.423 0.404 2.210 0.519
0.400 0.439 1.757 0.492
0.400 0.439 1.757 0.492
0.400 0.439 1.757 0.492
0.400 0.454 1.818 0.490
0.400 0.454 1.818 0.490
0.400 0.454 1.818 0.490
0.400 0.456 1.823 0.490
0.400 0.456 1.823 0.490
0.400 0.456 1.823 0.490
