Nu Mu Alpha TotalCost
0.490 0.660 -24.300 75.743
0.490 0.660 -24.300 75.743
0.490 0.660 -24.300 75.743
0.490 0.660 -24.300 75.743
0.400 0.001 -23.256 1.675
0.400 0.001 -23.256 1.675
0.400 0.001 -23.256 1.675
0.400 0.001 -23.256 1.675
0.400 0.005 -23.262 1.648
0.400 0.005 -23.262 1.648
0.400 0.005 -23.262 1.648
0.400 0.005 -23.262 1.648
0.401 0.021 -23.287 1.540
0.401 0.021 -23.287 1.540
0.401 0.021 -23.287 1.540
0.401 0.021 -23.287 1.540
0.405 0.085 -23.387 1.136
0.405 0.085 -23.387 1.136
0.405 0.085 -23.387 1.136
0.405 0.085 -23.387 1.136
0.495 0.763 -24.466 392.220
0.495 0.763 -24.466 392.222
0.495 0.763 -24.466 392.220
0.495 0.763 -24.466 392.220
0.434 0.306 -23.739 0.135
0.434 0.306 -23.739 0.135
0.434 0.306 -23.739 0.135
0.434 0.306 -23.739 0.135
0.452 0.389 -23.877 0.340
0.452 0.389 -23.877 0.340
0.452 0.389 -23.877 0.340
0.452 0.389 -23.877 0.340
0.439 0.328 -23.776 0.112
0.439 0.328 -23.776 0.112
0.439 0.328 -23.776 0.112
0.439 0.328 -23.776 0.112
0.438 0.338 -23.790 0.104
0.438 0.338 -23.790 0.104
0.438 0.338 -23.790 0.104
0.438 0.338 -23.790 0.104
0.433 0.376 -23.850 0.080
0.433 0.376 -23.850 0.080
0.433 0.376 -23.850 0.080
0.433 0.376 -23.850 0.080
0.411 0.465 -23.984 0.035
0.411 0.465 -23.984 0.035
0.411 0.465 -23.984 0.035
0.411 0.465 -23.984 0.035
0.403 0.481 -24.009 0.026
0.403 0.481 -24.009 0.026
0.403 0.481 -24.009 0.026
0.403 0.481 -24.009 0.026
0.400 0.477 -24.001 0.022
0.400 0.477 -24.001 0.022
0.400 0.477 -24.001 0.022
0.400 0.477 -24.001 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.473 -23.995 0.022
0.400 0.472 -23.996 0.022
0.400 0.472 -23.996 0.022
0.400 0.472 -23.996 0.022
0.400 0.472 -23.996 0.022
0.400 0.472 -23.998 0.022
0.400 0.472 -23.998 0.022
0.400 0.472 -23.998 0.022
0.400 0.472 -23.998 0.022
0.400 0.471 -24.004 0.022
0.400 0.471 -24.004 0.022
0.400 0.471 -24.004 0.022
0.400 0.471 -24.004 0.022
0.400 0.469 -24.023 0.022
0.400 0.469 -24.023 0.022
0.400 0.469 -24.023 0.022
0.400 0.469 -24.023 0.022
0.400 0.466 -24.077 0.022
0.400 0.466 -24.077 0.022
0.400 0.466 -24.077 0.022
0.400 0.466 -24.077 0.022
0.400 0.461 -24.219 0.022
0.400 0.461 -24.219 0.022
0.400 0.461 -24.219 0.022
0.400 0.461 -24.219 0.022
0.400 0.452 -24.558 0.021
0.400 0.452 -24.558 0.021
0.400 0.452 -24.558 0.021
0.400 0.452 -24.558 0.021
0.400 0.445 -25.206 0.018
0.400 0.445 -25.206 0.018
0.400 0.445 -25.206 0.018
0.400 0.445 -25.206 0.018
0.407 0.403 -27.459 0.014
0.407 0.403 -27.459 0.014
0.407 0.403 -27.459 0.014
0.407 0.403 -27.459 0.014
0.411 0.395 -27.964 0.013
0.411 0.395 -27.964 0.013
0.411 0.395 -27.964 0.013
0.411 0.395 -27.964 0.013
0.417 0.378 -28.621 0.013
0.417 0.378 -28.621 0.013
0.417 0.378 -28.621 0.013
0.417 0.378 -28.621 0.013
0.417 0.374 -28.729 0.013
0.417 0.374 -28.729 0.013
0.417 0.374 -28.729 0.013
0.417 0.374 -28.729 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
0.418 0.373 -28.751 0.013
