Nu Mu Alpha TotalCost
0.490 0.660 -24.300 300.799
0.490 0.660 -24.300 300.800
0.490 0.660 -24.300 300.799
0.490 0.660 -24.300 300.799
0.400 0.001 -23.720 1.674
0.400 0.001 -23.720 1.674
0.400 0.001 -23.720 1.674
0.400 0.001 -23.720 1.674
0.400 0.002 -23.721 1.665
0.400 0.002 -23.721 1.665
0.400 0.002 -23.721 1.665
0.400 0.002 -23.721 1.665
0.400 0.006 -23.725 1.631
0.400 0.006 -23.725 1.631
0.400 0.006 -23.725 1.631
0.400 0.006 -23.725 1.631
0.401 0.024 -23.740 1.494
0.401 0.024 -23.740 1.494
0.401 0.024 -23.740 1.494
0.401 0.024 -23.740 1.494
0.406 0.094 -23.801 0.995
0.406 0.094 -23.801 0.995
0.406 0.094 -23.801 0.995
0.406 0.094 -23.801 0.995
0.476 0.602 -24.249 36.184
0.476 0.602 -24.249 36.184
0.476 0.602 -24.249 36.184
0.476 0.602 -24.249 36.184
0.427 0.250 -23.939 0.239
0.427 0.250 -23.939 0.239
0.427 0.250 -23.939 0.239
0.427 0.250 -23.939 0.239
0.430 0.300 -23.983 0.224
0.430 0.300 -23.983 0.224
0.430 0.300 -23.983 0.224
0.430 0.300 -23.983 0.224
0.426 0.291 -23.975 0.199
0.426 0.291 -23.975 0.199
0.426 0.291 -23.975 0.199
0.426 0.291 -23.975 0.199
0.420 0.304 -23.986 0.175
0.420 0.304 -23.986 0.175
0.420 0.304 -23.986 0.175
0.420 0.304 -23.986 0.175
0.400 0.395 -24.065 0.099
0.400 0.395 -24.065 0.099
0.400 0.395 -24.065 0.099
0.400 0.395 -24.065 0.099
0.400 0.394 -24.067 0.099
0.400 0.394 -24.067 0.099
0.400 0.394 -24.067 0.099
0.400 0.394 -24.067 0.099
0.400 0.392 -24.071 0.099
0.400 0.392 -24.071 0.099
0.400 0.392 -24.071 0.099
0.400 0.392 -24.071 0.099
0.400 0.391 -24.075 0.099
0.400 0.391 -24.075 0.099
0.400 0.391 -24.075 0.099
0.400 0.391 -24.075 0.099
0.400 0.388 -24.105 0.099
0.400 0.388 -24.105 0.099
0.400 0.388 -24.105 0.099
0.400 0.388 -24.105 0.099
0.400 0.384 -24.173 0.098
0.400 0.384 -24.173 0.098
0.400 0.384 -24.173 0.098
0.400 0.384 -24.173 0.098
0.400 0.377 -24.377 0.096
0.400 0.377 -24.377 0.096
0.400 0.377 -24.377 0.096
0.400 0.377 -24.377 0.096
0.400 0.364 -24.892 0.092
0.400 0.364 -24.892 0.092
0.400 0.364 -24.892 0.092
0.400 0.364 -24.892 0.092
0.400 0.344 -26.202 0.082
0.400 0.344 -26.202 0.082
0.400 0.344 -26.202 0.082
0.400 0.344 -26.202 0.082
0.400 0.314 -29.127 0.060
0.400 0.314 -29.127 0.060
0.400 0.314 -29.127 0.060
0.400 0.314 -29.127 0.060
0.400 0.483 -31.659 0.390
0.400 0.483 -31.659 0.390
0.400 0.483 -31.659 0.390
0.400 0.483 -31.659 0.390
0.400 0.350 -29.674 0.034
0.400 0.350 -29.674 0.034
0.400 0.350 -29.674 0.034
0.400 0.350 -29.674 0.034
0.400 0.316 -33.622 0.033
0.400 0.316 -33.622 0.033
0.400 0.316 -33.622 0.033
0.400 0.316 -33.622 0.033
0.400 0.334 -31.579 0.027
0.400 0.334 -31.579 0.027
0.400 0.334 -31.579 0.027
0.400 0.334 -31.579 0.027
0.400 0.326 -31.915 0.027
0.400 0.326 -31.915 0.027
0.400 0.326 -31.915 0.027
0.400 0.326 -31.915 0.027
0.400 0.326 -31.920 0.027
0.400 0.326 -31.920 0.027
0.400 0.326 -31.920 0.027
0.400 0.326 -31.920 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
