Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 0.660 -24.300 0.508 5.108 0.083 1.900
10.000 0.660 -24.300 0.508 5.108 0.083 1.900
10.000 0.660 -24.300 0.508 5.108 0.083 1.900
10.000 0.660 -24.300 0.508 5.108 0.083 1.900
9.607 0.100 -24.258 0.502 0.076 1.817 0.798
9.607 0.100 -24.258 0.502 0.076 1.817 0.798
9.607 0.100 -24.258 0.502 0.076 1.817 0.798
9.607 0.100 -24.258 0.502 0.076 1.817 0.798
9.717 0.278 -24.271 0.045 1.102 1.006 0.718
9.717 0.278 -24.271 0.045 1.102 1.006 0.718
9.717 0.278 -24.271 0.045 1.102 1.006 0.718
9.717 0.278 -24.271 0.045 1.102 1.006 0.718
9.677 0.227 -24.268 0.117 0.727 1.215 0.686
9.677 0.227 -24.268 0.117 0.727 1.215 0.686
9.677 0.227 -24.268 0.117 0.727 1.215 0.686
9.677 0.227 -24.268 0.117 0.727 1.215 0.686
9.656 0.210 -24.268 0.149 0.617 1.286 0.684
9.656 0.210 -24.268 0.149 0.617 1.286 0.684
9.656 0.210 -24.268 0.149 0.617 1.286 0.684
9.656 0.210 -24.268 0.149 0.617 1.286 0.684
9.644 0.209 -24.270 0.152 0.607 1.291 0.683
9.644 0.209 -24.270 0.152 0.607 1.291 0.683
9.644 0.209 -24.270 0.152 0.607 1.291 0.683
9.644 0.209 -24.270 0.152 0.607 1.291 0.683
9.596 0.205 -24.275 0.163 0.567 1.310 0.680
9.596 0.205 -24.275 0.163 0.567 1.310 0.680
9.596 0.205 -24.275 0.163 0.567 1.310 0.680
9.596 0.205 -24.275 0.163 0.567 1.310 0.680
9.160 0.195 -24.331 0.207 0.406 1.351 0.654
9.160 0.195 -24.331 0.207 0.406 1.351 0.654
9.160 0.195 -24.331 0.207 0.406 1.351 0.654
9.160 0.195 -24.331 0.207 0.406 1.351 0.654
7.678 0.205 -24.527 0.268 0.163 1.302 0.578
7.678 0.205 -24.527 0.268 0.163 1.302 0.578
7.678 0.205 -24.527 0.268 0.163 1.302 0.578
7.678 0.205 -24.527 0.268 0.163 1.302 0.578
3.709 0.289 -25.060 0.381 0.052 0.958 0.464
3.709 0.289 -25.060 0.381 0.052 0.958 0.464
3.709 0.289 -25.060 0.381 0.052 0.958 0.464
