Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 0.660 -24.300 5.478 31.551 0.656 12.562
10.000 0.660 -24.300 5.478 31.551 0.656 12.562
10.000 0.660 -24.300 5.478 31.551 0.656 12.562
10.000 0.660 -24.300 5.478 31.551 0.656 12.562
8.158 0.100 -23.970 0.067 2.323 1.417 1.269
8.158 0.100 -23.970 0.067 2.323 1.417 1.269
8.158 0.100 -23.970 0.067 2.323 1.417 1.269
8.158 0.100 -23.970 0.067 2.323 1.417 1.269
8.043 0.100 -23.952 0.072 2.219 1.418 1.236
8.043 0.100 -23.952 0.072 2.219 1.418 1.236
8.043 0.100 -23.952 0.072 2.219 1.418 1.236
8.043 0.100 -23.952 0.072 2.219 1.418 1.236
7.584 0.100 -23.879 0.094 1.825 1.422 1.114
7.584 0.100 -23.879 0.094 1.825 1.422 1.114
7.584 0.100 -23.879 0.094 1.825 1.422 1.114
7.584 0.100 -23.879 0.094 1.825 1.422 1.114
3.419 0.100 -23.214 0.546 0.011 1.463 0.673
3.419 0.100 -23.214 0.546 0.011 1.463 0.673
3.419 0.100 -23.214 0.546 0.011 1.463 0.673
3.419 0.100 -23.214 0.546 0.011 1.463 0.673
2.297 0.167 -23.038 0.413 0.021 0.986 0.473
2.297 0.167 -23.038 0.413 0.021 0.986 0.473
2.297 0.167 -23.038 0.413 0.021 0.986 0.473
2.297 0.167 -23.038 0.413 0.021 0.986 0.473
2.324 0.323 -23.058 0.034 0.337 0.243 0.204
2.324 0.323 -23.058 0.034 0.337 0.243 0.204
2.324 0.323 -23.058 0.034 0.337 0.243 0.204
2.324 0.323 -23.058 0.034 0.337 0.243 0.204
1.000 0.535 -22.571 0.029 0.103 0.020 0.051
1.000 0.535 -22.571 0.029 0.103 0.020 0.051
1.000 0.535 -22.571 0.029 0.103 0.020 0.051
1.000 0.535 -22.571 0.029 0.103 0.020 0.051
1.000 0.438 -22.760 0.048 0.051 0.058 0.052
1.000 0.438 -22.760 0.048 0.051 0.058 0.052
1.000 0.438 -22.760 0.048 0.051 0.058 0.052
1.000 0.438 -22.760 0.048 0.051 0.058 0.052
1.000 0.488 -22.664 0.026 0.068 0.021 0.038
1.000 0.488 -22.664 0.026 0.068 0.021 0.038
1.000 0.488 -22.664 0.026 0.068 0.021 0.038
1.000 0.488 -22.664 0.026 0.068 0.021 0.038
1.000 0.488 -22.666 0.026 0.068 0.021 0.038
1.000 0.488 -22.666 0.026 0.068 0.021 0.038
1.000 0.488 -22.666 0.026 0.068 0.021 0.038
1.000 0.488 -22.666 0.026 0.068 0.021 0.038
1.000 0.486 -22.678 0.026 0.067 0.021 0.038
1.000 0.486 -22.678 0.026 0.067 0.021 0.038
1.000 0.486 -22.678 0.026 0.067 0.021 0.038
1.000 0.486 -22.678 0.026 0.067 0.021 0.038
1.000 0.482 -22.735 0.026 0.065 0.022 0.038
1.000 0.482 -22.735 0.026 0.065 0.022 0.038
1.000 0.482 -22.735 0.026 0.065 0.022 0.038
1.000 0.482 -22.735 0.026 0.065 0.022 0.038
1.000 0.473 -22.967 0.027 0.060 0.024 0.037
1.000 0.473 -22.967 0.027 0.060 0.024 0.037
1.000 0.473 -22.967 0.027 0.060 0.024 0.037
1.000 0.473 -22.967 0.027 0.060 0.024 0.037
1.000 0.483 -23.418 0.021 0.062 0.015 0.033
1.000 0.483 -23.418 0.021 0.062 0.015 0.033
1.000 0.483 -23.418 0.021 0.062 0.015 0.033
1.000 0.483 -23.418 0.021 0.062 0.015 0.033
1.000 0.460 -25.729
