Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 0.350 -25.300 1.557 15.720 0.055 5.777
10.000 0.350 -25.300 1.557 15.720 0.055 5.777
10.000 0.350 -25.300 1.557 15.720 0.055 5.777
10.000 0.350 -25.300 1.557 15.720 0.055 5.777
8.911 0.100 -25.190 0.032 3.097 1.369 1.499
8.911 0.100 -25.190 0.032 3.097 1.369 1.499
8.911 0.100 -25.190 0.032 3.097 1.369 1.499
8.911 0.100 -25.190 0.032 3.097 1.369 1.499
8.718 0.100 -25.172 0.035 2.899 1.370 1.435
8.718 0.100 -25.172 0.035 2.899 1.370 1.435
8.718 0.100 -25.172 0.035 2.899 1.370 1.435
8.718 0.100 -25.172 0.035 2.899 1.370 1.435
7.946 0.100 -25.099 0.057 2.166 1.375 1.199
7.946 0.100 -25.099 0.057 2.166 1.375 1.199
7.946 0.100 -25.099 0.057 2.166 1.375 1.199
7.946 0.100 -25.099 0.057 2.166 1.375 1.199
3.133 0.100 -24.645 0.540 0.023 1.414 0.659
3.133 0.100 -24.645 0.540 0.023 1.414 0.659
3.133 0.100 -24.645 0.540 0.023 1.414 0.659
3.133 0.100 -24.645 0.540 0.023 1.414 0.659
2.773 0.152 -24.612 0.333 0.013 1.013 0.453
2.773 0.152 -24.612 0.333 0.013 1.013 0.453
2.773 0.152 -24.612 0.333 0.013 1.013 0.453
2.773 0.152 -24.612 0.333 0.013 1.013 0.453
1.000 0.298 -24.424 0.220 0.143 0.320 0.228
1.000 0.298 -24.424 0.220 0.143 0.320 0.228
1.000 0.298 -24.424 0.220 0.143 0.320 0.228
1.000 0.298 -24.424 0.220 0.143 0.320 0.228
3.240 0.642 -24.587 1.189 4.841 0.446 2.158
3.240 0.642 -24.587 1.189 4.841 0.446 2.158
3.240 0.642 -24.587 1.189 4.841 0.446 2.158
3.240 0.642 -24.587 1.189 4.841 0.446 2.158
1.489 0.373 -24.459 0.025 0.075 0.092 0.064
1.489 0.373 -24.459 0.025 0.075 0.092 0.064
1.489 0.373 -24.459 0.025 0.075 0.092 0.064
1.489 0.373 -24.459 0.025 0.075 0.092 0.064
1.116 0.435 -24.416 0.018 0.047 0.026 0.030
1.116 0.435 -24.416 0.018 0.047 0.026 0.030
1.116 0.435 -24.416 0.018 0.047 0.026 0.030
1.116 0.435 -24.416 0.018 0.047 0.026 0.030
1.000 0.469 -24.400 0.016 0.053 0.011 0.027
1.000 0.469 -24.400 0.016 0.053 0.011 0.027
1.000 0.469 -24.400 0.016 0.053 0.011 0.027
1.000 0.469 -24.400 0.016 0.053 0.011 0.027
1.000 0.466 -24.401 0.016 0.051 0.012 0.027
1.000 0.466 -24.401 0.016 0.051 0.012 0.027
1.000 0.466 -24.401 0.016 0.051 0.012 0.027
1.000 0.466 -24.401 0.016 0.051 0.012 0.027
1.008 0.465 -24.403 0.016 0.051 0.012 0.027
1.008 0.465 -24.403 0.016 0.051 0.012 0.027
1.008 0.465 -24.403 0.016 0.051 0.012 0.027
1.008 0.465 -24.403 0.016 0.051 0.012 0.027
1.006 0.465 -24.406 0.016 0.051 0.012 0.027
1.006 0.465 -24.406 0.016 0.051 0.012 0.027
1.006 0.465 -24.406 0.016 0.051 0.012 0.027
1.006 0.465 -24.406 0.016 0.051 0.012 0.027
1.001 0.467 -24.419 0.016 0.052 0.012 0.027
1.001 0.467 -24.419 0.016 0.052 0.012 0.027
1.001 0.467 -24.419 0.016 0.052 0.012 0.027
1.001 0.467 -24.419 0.016 0.052 0.012 0.027
1.000 0.469 -24.532 0.016 0.052 0.011 0.026
1.000 0.469 -24.532 0.016 0.052 0.011 0.026
1.000 0.469 -24.532 0.016 0.052 0.011 0.026
1.000 0.469 -24.532 0.016 0.052 0.011 0.026
1.000 0.468 -25.129 0.014 0.050 0.008 0.024
1.000 0.468 -25.129 0.014 0.050 0.008 0.024
1.000 0.468 -25.129 0.014 0.050 0.008 0.024
1.000 0.468 -25.129 0.014 0.050 0.008 0.024
1.000 0.453 -26.586 0.011 0.041 0.006 0.020
1.000 0.453 -26.586 0.011 0.041 0.006 0.020
1.000 0.453 -26.586 0.011 0.041 0.006 0.020
1.000 0.453 -26.586 0.011 0.041 0.006 0.020
1.000 0.428 -27.969 0.008 0.036 0.005 0.016
1.000 0.428 -27.969 0.008 0.036 0.005 0.016
1.000 0.428 -27.969 0.008 0.036 0.005 0.016
1.000 0.428 -27.969 0.008 0.036 0.005 0.016
1.088 0.384 -29.674 0.005 0.028 0.003 0.012
1.088 0.384 -29.674 0.005 0.028 0.003 0.012
1.088 0.384 -29.674 0.005 0.028 0.003 0.012
1.088 0.384 -29.674 0.005 0.028 0.003 0.012
1.180 0.355 -30.517 0.003 0.022 0.006 0.011
1.180 0.355 -30.517 0.003 0.022 0.006 0.011
1.180 0.355 -30.517 0.003 0.022 0.006 0.011
1.180 0.355 -30.517 0.003 0.022 0.006 0.011
1.208 0.354 -30.514 0.004 0.021 0.006 0.010
1.208 0.354 -30.514 0.004 0.021 0.006 0.010
1.208 0.354 -30.514 0.004 0.021 0.006 0.010
1.208 0.354 -30.514 0.004 0.021 0.006 0.010
1.219 0.352 -30.567 0.004 0.021 0.006 0.010
1.219 0.352 -30.567 0.004 0.021 0.006 0.010
1.219 0.352 -30.567 0.004 0.021 0.006 0.010
1.219 0.352 -30.567 0.004 0.021 0.006 0.010
1.219 0.352 -30.571 0.004 0.021 0.006 0.010
1.219 0.352 -30.571 0.004 0.021 0.006 0.010
1.219 0.352 -30.571 0.004 0.021 0.006 0.010
1.219 0.352 -30.571 0.004 0.021 0.006 0.010
1.219 0.352 -30.578 0.004 0.021 0.006 0.010
1.219 0.352 -30.578 0.004 0.021 0.006 0.010
1.219 0.352 -30.578 0.004 0.021 0.006 0.010
1.219 0.352 -30.578 0.004 0.021 0.006 0.010
1.219 0.352 -30.572 0.004 0.021 0.006 0.010
1.219 0.352 -30.572 0.004 0.021 0.006 0.010
1.219 0.352 -30.572 0.004 0.021 0.006 0.010
1.219 0.352 -30.572 0.004 0.021 0.006 0.010
1.219 0.352 -30.573 0.004 0.021 0.006 0.010
1.219 0.352 -30.573 0.004 0.021 0.006 0.010
