Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
10.000 1.430 -19.000 0.217 0.360 0.218 0.265
10.000 1.430 -19.000 0.217 0.360 0.218 0.265
10.000 1.430 -19.000 0.217 0.360 0.218 0.265
10.000 1.430 -19.000 0.217 0.360 0.218 0.265
9.940 1.054 -18.993 0.011 0.118 0.534 0.221
9.940 1.054 -18.993 0.011 0.118 0.534 0.221
9.940 1.054 -18.993 0.011 0.118 0.534 0.221
9.940 1.054 -18.993 0.011 0.118 0.534 0.221
9.936 1.168 -18.999 0.041 0.173 0.421 0.212
9.936 1.168 -18.999 0.041 0.173 0.421 0.212
9.936 1.168 -18.999 0.041 0.173 0.421 0.212
9.936 1.168 -18.999 0.041 0.173 0.421 0.212
9.916 1.167 -19.004 0.040 0.171 0.422 0.211
9.916 1.167 -19.004 0.040 0.171 0.422 0.211
9.916 1.167 -19.004 0.040 0.171 0.422 0.211
9.916 1.167 -19.004 0.040 0.171 0.422 0.211
9.836 1.162 -19.023 0.037 0.163 0.426 0.208
9.836 1.162 -19.023 0.037 0.163 0.426 0.208
9.836 1.162 -19.023 0.037 0.163 0.426 0.208
9.836 1.162 -19.023 0.037 0.163 0.426 0.208
9.514 1.144 -19.099 0.026 0.134 0.441 0.200
9.514 1.144 -19.099 0.026 0.134 0.441 0.200
9.514 1.144 -19.099 0.026 0.134 0.441 0.200
9.514 1.144 -19.099 0.026 0.134 0.441 0.200
7.477 1.183 -19.585 0.011 0.067 0.395 0.158
7.477 1.183 -19.585 0.011 0.067 0.395 0.158
7.477 1.183 -19.585 0.011 0.067 0.395 0.158
7.477 1.183 -19.585 0.011 0.067 0.395 0.158
3.891 1.383 -20.447 0.008 0.158 0.246 0.137
3.891 1.383 -20.447 0.008 0.158 0.246 0.137
3.891 1.383 -20.447 0.008 0.158 0.246 0.137
3.891 1.383 -20.447 0.008 0.158 0.246 0.137
5.686 1.283 -20.015 0.010 0.070 0.309 0.130
5.686 1.283 -20.015 0.010 0.070 0.309 0.130
5.686 1.283 -20.015 0.010 0.070 0.309 0.130
5.686 1.283 -20.015 0.010 0.070 0.309 0.130
4.279 1.458 -20.401 0.022 0.107 0.196 0.108
4.279 1.458 -20.401 0.022 0.107 0.196 0.108
4.279 1.458 -20.401 0.022 0.107 0.196 0.108
4.279 1.458 -20.401 0.022 0.107 0.196 0.108
4.558 1.566 -20.397 0.069 0.078 0.137 0.095
4.558 1.566 -20.397 0.069 0.078 0.137 0.095
4.558 1.566 -20.397 0.069 0.078 0.137 0.095
4.558 1.566 -20.397 0.069 0.078 0.137 0.095
4.391 1.603 -20.452 0.080 0.082 0.121 0.094
4.391 1.603 -20.452 0.080 0.082 0.121 0.094
4.391 1.603 -20.452 0.080 0.082 0.121 0.094
4.391 1.603 -20.452 0.080 0.082 0.121 0.094
4.399 1.603 -20.452 0.080 0.082 0.121 0.094
4.399 1.603 -20.452 0.080 0.082 0.121 0.094
4.399 1.603 -20.452 0.080 0.082 0.121 0.094
4.399 1.603 -20.452 0.080 0.082 0.121 0.094
4.403 1.603 -20.455 0.080 0.082 0.121 0.094
4.403 1.603 -20.455 0.080 0.082 0.121 0.094
4.403 1.603 -20.455 0.080 0.082 0.121 0.094
4.403 1.603 -20.455 0.080 0.082 0.121 0.094
4.434 1.599 -20.503 0.081 0.081 0.121 0.094
4.434 1.599 -20.503 0.081 0.081 0.121 0.094
4.434 1.599 -20.503 0.081 0.081 0.121 0.094
4.434 1.599 -20.503 0.081 0.081 0.121 0.094
4.456 1.594 -20.578 0.082 0.080 0.121 0.094
4.456 1.594 -20.578 0.082 0.080 0.121 0.094
4.456 1.594 -20.578 0.082 0.080 0.121 0.094
4.456 1.594 -20.578 0.082 0.080 0.121 0.094
4.475 1.583 -20.764 0.083 0.080 0.120 0.094
4.475 1.583 -20.764 0.083 0.080 0.120 0.094
4.475 1.583 -20.764 0.083 0.080 0.120 0.094
4.475 1.583 -20.764 0.083 0.080 0.120 0.094
4.470 1.561 -21.192 0.083 0.081 0.118 0.094
4.470 1.561 -21.192 0.083 0.081 0.118 0.094
4.470 1.561 -21.192 0.083 0.081 0.118 0.094
4.470 1.561 -21.192 0.083 0.081 0.118 0.094
4.452 1.564 -21.147 0.083 0.082 0.118 0.094
4.452 1.564 -21.147 0.083 0.082 0.118 0.094
4.452 1.564 -21.147 0.083 0.082 0.118 0.094
4.452 1.564 -21.147 0.083 0.082 0.118 0.094
4.437 1.566 -21.136 0.082 0.082 0.118 0.094
4.437 1.566 -21.136 0.082 0.082 0.118 0.094
4.437 1.566 -21.136 0.082 0.082 0.118 0.094
4.437 1.566 -21.136 0.082 0.082 0.118 0.094
